School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,ALONSO HIGH SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"",,,Alonso,,1,7,,1,3,12
"",,,Armwood,,1,,,,,1
"",,,Chamberlain,,,3,,,2,5
"",,,Freedom,,,1,,,1,2
"",,,Gaither,,,2,,,1,3
"",,,Hillsborough,,2,3,,,,5
"",,,Jefferson,,2,7,,,,9
"",,,King,,1,,,1,1,3
"",,,Lennard,,,,,,2,2
"",,,Leto,2,4,55,,5,11,77
"",,,Middleton,,,1,,,,1
"",,,Plant City,,,,,,1,1
"",,,Sickles,,1,2,,,4,7
"",,,Spoto,,,2,,,,2
"",,,Steinbrenner,,,1,,,1,2
"",,Choice Total,,2,12,84,,7,28,133
"",,Magnet,Blank/Bad Addr,1,,2,,,2,5
"",,,Alonso,53,9,115,,15,114,306
"",,,Blake,,,1,,,1,2
"",,,Chamberlain,3,1,7,,,1,12
"",,,Freedom,,,1,,,,1
"",,,Gaither,1,2,7,,,1,11
"",,,Hillsborough,,1,5,,1,,7
"",,,Jefferson,1,1,7,,,,9
"",,,Leto,11,,45,,7,19,82
"",,,Middleton,,,2,,,,2
"",,,Plant,,,,,1,,1
"",,,Robinson,,,1,,,,1
"",,,Sickles,14,2,8,,3,7,34
"",,,Spoto,,,2,,,,2
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,ALONSO HIGH SCHOOL,Magnet,Strawberry Crest,,,1,,,,1
"",,,Wharton,1,,3,,,1,5
"",,Magnet Total,,85,17,208,,27,149,486
"",,Neighborhood,Alonso,99,143,"1,415",4,87,555,"2,303"
"",,,Blake,,,1,,,,1
"",,,Freedom,,1,,,,,1
"",,,Leto,,3,2,,,1,6
"",,,Middleton,,,,,,1,1
"",,,Sickles,1,,,,,1,2
"",,,Steinbrenner,,,1,,,,1
"",,Neighborhood Total,,100,147,"1,419",4,87,558,"2,315"
"ALONSO HIGH SCHOOL Total1871761,71141217352,934",,,,,,,,,,
"",ARMWOOD HIGH SCHOOL,Choice,Blank/Bad Addr,,1,,,,,1
"",,,Alonso,,1,,,,,1
"",,,Armwood,1,5,4,,,1,11
"",,,Blake,,1,2,,1,3,7
"",,,Brandon,,4,2,,1,4,11
"",,,Durant,2,2,,,,1,5
"",,,East Bay,,3,1,,,,4
"",,,Freedom,,1,,,,,1
"",,,Hillsborough,,1,,,,,1
"",,,King,,9,1,,2,6,18
"",,,Lennard,,1,,,,,1
"",,,Middleton,,2,,,,,2
"",,,Plant City,,1,,,,,1
"",,,Spoto,,3,1,,,,4
"",,,Strawberry Crest,,,,,,1,1
"",,,Sumner,,1,,,,,1
"",,Choice Total,,3,36,11,,4,16,70
"",,Hope Sch,Spoto,,1,,,,,1
"",,Hope Sch Total,,,1,,,,,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,ARMWOOD HIGH SCHOOL,Magnet,Armwood,5,34,31,,10,50,130
"",,,Blake,1,5,,,,1,7
"",,,Bloomingdale,,1,3,,,4,8
"",,,Brandon,10,16,29,,6,35,96
"",,,Chamberlain,,1,,,,,1
"",,,Durant,,5,5,,2,8,20
"",,,East Bay,1,7,,,,4,12
"",,,Freedom,,4,,,,2,6
"",,,Hillsborough,,3,,,,,3
"",,,Jefferson,,,1,,,,1
"",,,King,1,8,2,,1,3,15
"",,,Lennard,,1,,,,,1
"",,,Middleton,,4,1,,,,5
"",,,Newsome,2,1,,,2,1,6
"",,,Plant City,2,4,2,,,5,13
"",,,Riverview,,,6,,,3,9
"",,,Robinson,,1,,,,,1
"",,,Spoto,,7,2,,,2,11
"",,,Strawberry Crest,,4,14,,4,10,32
"",,,Sumner,1,5,1,,1,3,11
"",,,Wharton,,5,2,,,1,8
"",,Magnet Total,,23,117,100,,26,132,398
"",,Neighborhood,Alonso,,,1,,,,1
"",,,Armwood,22,663,664,2,76,385,"1,812"
"",,,Blake,,2,,,,2,4
"",,,Bloomingdale,,1,,,,1,2
"",,,Brandon,,3,,,2,1,6
"",,,Durant,,,,,,1,1
"",,,East Bay,,1,,,,,1
"",,,Gaither,,,,,,1,1
"",,,Hillsborough,,,1,,,,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,ARMWOOD HIGH SCHOOL,Neighborhood,Leto,,,1,,,,1
"",,,Middleton,,2,,,,,2
"",,,Plant City,,,1,,,1,2
"",,,Riverview,,,1,,,,1
"",,,Spoto,,3,,,,,3
"",,,Wharton,,,,,,3,3
"",,Neighborhood Total,,22,679,672,2,78,398,"1,851"
"ARMWOOD HIGH SCHOOL Total4883378321085462,320",,,,,,,,,,
"",BLAKE HIGH SCHOOL,Choice,Blank/Bad Addr,,2,,,,1,3
"",,,Armwood,,2,,,,,2
"",,,Blake,,,,,,1,1
"",,,Brandon,,1,,,,,1
"",,,Chamberlain,,1,,,,,1
"",,,Freedom,,,1,,,,1
"",,,Hillsborough,,2,2,,,,4
"",,,Jefferson,,,1,,,,1
"",,,King,,2,,,,,2
"",,,Lennard,,,1,,,,1
"",,,Middleton,,3,1,,,2,6
"",,,Plant City,,1,,,,,1
"",,,Riverview,,1,,,,,1
"",,,Robinson,,1,,,,,1
"",,,Spoto,,1,2,,,,3
"",,,Wharton,,1,1,,,,2
"",,Choice Total,,,18,9,,,4,31
"",,Hope Sch,Leto,,1,1,,,,2
"",,,Middleton,,,2,,,,2
"",,,Sumner,,,,,,1,1
"",,Hope Sch Total,,,1,3,,,1,5
"",,Magnet,Blank/Bad Addr,,4,3,,2,11,20
"",,,Alonso,2,,6,,2,15,25
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,BLAKE HIGH SCHOOL,Magnet,Blake,1,14,13,,1,12,41
"",,,Bloomingdale,,3,7,,3,5,18
"",,,Brandon,,12,8,,3,18,41
"",,,Chamberlain,,9,20,,3,16,48
"",,,Durant,,1,1,,,3,5
"",,,East Bay,,11,11,,5,11,38
"",,,Freedom,1,7,12,,2,14,36
"",,,Gaither,2,1,3,,3,4,13
"",,,Hillsborough,1,9,20,,7,29,66
"",,,Jefferson,1,5,7,,1,4,18
"",,,King,,15,9,,2,14,40
"",,,Lennard,,6,6,,4,9,25
"",,,Leto,1,1,11,,2,8,23
"",,,Middleton,,25,7,,4,11,47
"",,,Newsome,1,,,,1,11,13
"",,,Plant,,2,4,,1,18,25
"",,,Plant City,,3,,,1,1,5
"",,,Riverview,1,15,6,,5,11,38
"",,,Robinson,,4,2,,3,11,20
"",,,Sickles,1,2,1,,,6,10
"",,,Spoto,2,34,16,,6,14,72
"",,,Steinbrenner,2,1,1,,,8,12
"",,,Strawberry Crest,,,1,,,1,2
"",,,Sumner,,21,5,,5,4,35
"",,,Wharton,1,19,10,,1,4,35
"",,Magnet Total,,18,241,201,,68,279,807
"",,Neighborhood,Alonso,,,1,,1,,2
"",,,Blake,4,390,235,2,24,50,705
"",,,Chamberlain,,2,2,,,,4
"",,,East Bay,,1,,,,,1
"",,,Freedom,1,2,,,,,3
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,BLAKE HIGH SCHOOL,Neighborhood,Hillsborough,,4,1,,,,5
"",,,Jefferson,,2,1,,,1,4
"",,,Lennard,,,,,,1,1
"",,,Middleton,,5,1,,,1,7
"",,,Plant,,2,,,,,2
"",,,Plant City,,,,,,1,1
"",,,Riverview,,2,1,,1,,4
"",,,Spoto,,1,,,,,1
"",,,Sumner,,1,,,,,1
"",,,Wharton,,2,,,,,2
"",,Neighborhood Total,,5,415,242,2,26,54,744
"BLAKE HIGH SCHOOL Total236754552943381,587",,,,,,,,,,
"",BLOOMINGDALE HIGH SCHOOL,Choice,Bloomingdale,,1,2,,1,2,6
"",,,Brandon,,1,1,,,5,7
"",,,Durant,,,3,,,5,8
"",,,East Bay,,3,,,,,3
"",,,King,,2,,,,,2
"",,,Middleton,,1,,,,,1
"",,,Newsome,1,,2,,,11,14
"",,,Riverview,,,2,,,6,8
"",,,Spoto,,2,5,,1,6,14
"",,Choice Total,,1,10,15,,2,35,63
"",,Hope Sch,Brandon,,,,,,1,1
"",,Hope Sch Total,,,,,,,1,1
"",,Magnet,Bloomingdale,1,,1,,,1,3
"",,Magnet Total,,1,,1,,,1,3
"",,Neighborhood,Blake,,,2,,,,2
"",,,Bloomingdale,64,266,748,3,169,981,"2,231"
"",,,Brandon,,,2,,,,2
"",,,Chamberlain,,1,,,,,1
"",,,Durant,,,1,,,1,2
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,BLOOMINGDALE HIGH SCHOOL,Neighborhood,Leto,,1,,,,,1
"",,,Middleton,,1,,,,,1
"",,,Newsome,,,1,,,3,4
"",,,Riverview,,1,2,,,,3
"",,,Spoto,,,3,,,2,5
"",,Neighborhood Total,,65,270,759,3,169,987,"2,253"
"BLOOMINGDALE HIGH SCHOOL Total6728077531711,0242,320",,,,,,,,,,
"",BRANDON HIGH SCHOOL,Choice,Armwood,,5,6,,1,13,25
"",,,Blake,,5,3,1,2,8,19
"",,,Bloomingdale,1,,2,,1,1,5
"",,,Brandon,,3,15,,2,4,24
"",,,Durant,,2,2,,2,4,10
"",,,East Bay,,,2,,,1,3
"",,,Freedom,,,,,,1,1
"",,,King,,2,2,,,1,5
"",,,Leto,,,,,,1,1
"",,,Middleton,,2,,,,1,3
"",,,Plant,,,1,,,1,2
"",,,Plant City,,1,,,,,1
"",,,Riverview,,3,2,,2,2,9
"",,,Robinson,,,,,,1,1
"",,,Spoto,,3,5,,,4,12
"",,,Strawberry Crest,,,3,,,1,4
"",,,Sumner,,1,,,1,1,3
"",,Choice Total,,1,27,43,1,11,45,128
"",,Hope Sch,Armwood,,1,1,,1,1,4
"",,,Blake,,,3,,1,,4
"",,,Bloomingdale,,,,,1,,1
"",,,King,,1,,,,,1
"",,,Plant,,,,,,1,1
"",,Hope Sch Total,,,2,4,,3,2,11
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,BRANDON HIGH SCHOOL,Magnet Total,,,,,,,1,1
"",,Neighborhood,Armwood,,3,6,,2,2,13
"",,,Blake,,4,6,,,1,11
"",,,Bloomingdale,,,,,1,2,3
"",,,Brandon,36,339,577,2,61,372,"1,387"
"",,,Durant,,,3,,,1,4
"",,,East Bay,,1,2,,,,3
"",,,Gaither,,,1,,,,1
"",,,Hillsborough,,,1,,,1,2
"",,,King,,2,1,,,,3
"",,,Lennard,,,3,,,2,5
"",,,Plant City,,1,1,,,,2
"",,,Riverview,,,1,,,1,2
"",,,Spoto,,2,2,,,,4
"",,,Strawberry Crest,,,4,,,2,6
"",,,Sumner,,1,3,,,,4
"",,Neighborhood Total,,36,353,611,2,64,384,"1,450"
"BRANDON HIGH SCHOOL Total373826583784321,590",,,,,,,,,,
"",BRIDGEPREP ACADEMY OF ADVANCED,Charter,Armwood,,2,3,,,,5
"",,,Blake,,,2,,,,2
"",,,Bloomingdale,,3,1,,,,4
"",,,Brandon,,2,2,,,,4
"",,,Durant,,1,1,,,,2
"",,,East Bay,,2,1,,,,3
"",,,Newsome,,,2,,,,2
"",,,Riverview,,3,4,,,,7
"",,,Spoto,,5,22,,2,,29
"",,,Sumner,,,1,,,,1
"",,Charter Total,,,18,39,,2,,59
BRIDGEPREP ACADEMY OF ADVANCED Total1839259,,,,,,,,,,
"",BROOKS DEBARTOLO COLLEGIATE,Charter,Blank/Bad Addr,4,14,19,,6,16,59
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,BROOKS DEBARTOLO COLLEGIATE,Charter,Armwood,,7,9,,1,3,20
"",,,Blake,1,1,3,,,,5
"",,,Bloomingdale,,,2,,1,,3
"",,,Brandon,,,1,,1,3,5
"",,,Chamberlain,4,11,39,,6,35,95
"",,,Freedom,15,5,20,,14,46,100
"",,,Gaither,,3,10,,,11,24
"",,,Hillsborough,1,6,16,,4,11,38
"",,,Jefferson,1,,8,,1,,10
"",,,King,1,14,20,,1,20,56
"",,,Lennard,,2,,,,,2
"",,,Leto,2,,20,,2,5,29
"",,,Middleton,,10,2,,,1,13
"",,,Newsome,,,,,,1,1
"",,,Plant,,1,1,,,1,3
"",,,Plant City,,,1,,,1,2
"",,,Riverview,,1,,,1,,2
"",,,Robinson,,,2,,,,2
"",,,Sickles,1,,1,,,1,3
"",,,Spoto,1,2,,,,1,4
"",,,Steinbrenner,3,1,4,,3,3,14
"",,,Strawberry Crest,1,1,2,,,,4
"",,,Sumner,,3,,,,,3
"",,,Wharton,22,16,21,,7,24,90
"",,Charter Total,,58,99,202,,49,186,594
BROOKS DEBARTOLO COLLEGIATE Total589920249186594,,,,,,,,,,
"",CHAMBERLAIN HIGH SCHOOL,Choice,Alonso,,,,,,1,1
"",,,Armwood,,,1,,1,,2
"",,,Blake,,,,,,1,1
"",,,Chamberlain,1,5,13,,2,3,24
"",,,Freedom,,2,5,,,,7
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,CHAMBERLAIN HIGH SCHOOL,Choice,Hillsborough,1,3,5,,2,1,12
"",,,Jefferson,,,1,,,,1
"",,,King,,7,6,,2,1,16
"",,,Lennard,,,1,,,,1
"",,,Leto,,,2,,,,2
"",,,Middleton,,6,2,,,,8
"",,,Spoto,,1,,,,,1
"",,,Steinbrenner,,,,,,1,1
"",,,Wharton,,9,31,,4,3,47
"",,Choice Total,,2,33,69,,11,11,126
"",,District Assigned,Wharton,,,,,1,,1
"",,District Assigned Total,,,,,,1,,1
"",,Hope Sch,Freedom,,1,,,,,1
"",,,Hillsborough,,,,,,1,1
"",,,King,,1,,,1,,2
"",,,Middleton,,2,,,,,2
"",,,Wharton,,,1,,,,1
"",,Hope Sch Total,,,4,1,,1,1,7
"",,Magnet,Chamberlain,1,,2,,,2,5
"",,Magnet Total,,1,,2,,,2,5
"",,Neighborhood,Bloomingdale,,,,,,1,1
"",,,Brandon,,1,,,,,1
"",,,Chamberlain,25,296,580,,46,129,"1,076"
"",,,Freedom,,,1,,,,1
"",,,Gaither,,,,,,1,1
"",,,Hillsborough,,,1,,,1,2
"",,,King,,1,,,,1,2
"",,,Lennard,,,,,,1,1
"",,,Leto,,,1,,,,1
"",,,Middleton,,3,,,,1,4
"",,,Spoto,,1,,,,,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,CHAMBERLAIN HIGH SCHOOL,Neighborhood,Wharton,,1,3,,1,,5
"",,Neighborhood Total,,25,303,587,,47,135,"1,097"
"CHAMBERLAIN HIGH SCHOOL Total28340659601491,236",,,,,,,,,,
"",DR KIRAN C PATEL HIGH SCHOOL,Charter,Blank/Bad Addr,15,16,16,,4,23,74
"",,,Alonso,2,1,4,,,,7
"",,,Armwood,14,16,22,,3,9,64
"",,,Blake,,4,2,,,1,7
"",,,Bloomingdale,,3,,,,,3
"",,,Brandon,2,,9,,2,4,17
"",,,Chamberlain,2,5,15,,3,9,34
"",,,Durant,,2,,,,,2
"",,,East Bay,1,3,,,1,1,6
"",,,Freedom,17,7,22,,7,31,84
"",,,Gaither,2,1,3,1,2,3,12
"",,,Hillsborough,,2,3,,1,4,10
"",,,Jefferson,1,1,1,,,,3
"",,,King,7,26,26,,5,48,112
"",,,Lennard,,1,,,1,,2
"",,,Leto,,3,1,,,,4
"",,,Middleton,,3,2,,1,1,7
"",,,Newsome,,,1,,,,1
"",,,Plant,,,1,,,1,2
"",,,Plant City,2,,,,1,,3
"",,,Riverview,,,2,,,,2
"",,,Spoto,1,4,4,,1,3,13
"",,,Steinbrenner,,,1,,,1,2
"",,,Strawberry Crest,,3,4,,,,7
"",,,Sumner,,1,,,,,1
"",,,Wharton,25,29,39,1,25,58,177
"",,Charter Total,,91,131,178,2,57,197,656
DR KIRAN C PATEL HIGH SCHOOL Total91131178257197656,,,,,,,,,,
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,DURANT HIGH SCHOOL,Choice,Armwood,,1,2,,,4,7
"",,,Blake,,,1,,,,1
"",,,Bloomingdale,,2,2,,1,17,22
"",,,Brandon,5,11,32,,5,55,108
"",,,Durant,,1,7,,,16,24
"",,,East Bay,,1,2,,,,3
"",,,King,,,,,,1,1
"",,,Newsome,2,1,1,,3,27,34
"",,,Plant City,,7,1,,1,13,22
"",,,Riverview,,,2,,2,8,12
"",,,Spoto,1,,2,,,4,7
"",,,Strawberry Crest,,,,,,11,11
"",,,Sumner,,,1,,,6,7
"",,,Wharton,,,,,,2,2
"",,Choice Total,,8,25,55,,12,173,273
"",,Hope Sch,Brandon,,1,1,,,,2
"",,,Durant,,,,,,1,1
"",,,Newsome,,,,,,1,1
"",,,Plant City,,,,,,1,1
"",,Hope Sch Total,,,1,1,,,3,5
"",,Magnet,Durant,,,1,,,3,4
"",,Magnet Total,,,,1,,,3,4
"",,Neighborhood,Blank/Bad Addr,,,,,,1,1
"",,,Brandon,,,,,1,1,2
"",,,Durant,60,208,822,5,104,968,"2,167"
"",,,King,,,,,1,,1
"",,,Newsome,,,1,,,2,3
"",,,Plant City,,,2,,,2,4
"",,,Spoto,,,1,,,,1
"",,,Strawberry Crest,,,1,,,,1
"",,,Wharton,,,,,,1,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"HighDURANT HIGH SCHOOL Total6823488451181,1542,463",,,,,,,,,,
"",EAST BAY HIGH SCHOOL,Choice,Blake,,1,2,,1,2,6
"",,,Bloomingdale,,,1,,,,1
"",,,Brandon,,1,1,,,,2
"",,,East Bay,,1,1,,2,7,11
"",,,Freedom,,,1,,,,1
"",,,King,,1,,,,,1
"",,,Lennard,,1,4,,1,19,25
"",,,Newsome,,,,,,1,1
"",,,Riverview,,2,2,,,9,13
"",,,Robinson,,1,,,,,1
"",,,Spoto,,7,8,,,9,24
"",,,Sumner,,9,11,,3,13,36
"",,Choice Total,,,24,31,,7,60,122
"",,Hope Sch,East Bay,,,1,,,,1
"",,,Lennard,,2,,,,,2
"",,,Riverview,,,1,,,,1
"",,,Spoto,,1,,,,,1
"",,,Sumner,,,,,,2,2
"",,Hope Sch Total,,,3,2,,,2,7
"",,Magnet,East Bay,,,1,,,3,4
"",,Magnet Total,,,,1,,,3,4
"",,Neighborhood,Armwood,,,,,,2,2
"",,,Blake,,,,,1,,1
"",,,East Bay,27,473,661,6,98,471,"1,736"
"",,,Freedom,,,1,,,,1
"",,,King,,,,,1,,1
"",,,Lennard,,1,1,,,2,4
"",,,Newsome,,,,,,1,1
"",,,Riverview,,,1,,,4,5
"",,,Spoto,,,1,,,1,2
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,EAST BAY HIGH SCHOOL,Neighborhood Total,,27,478,668,6,100,482,"1,761"
"EAST BAY HIGH SCHOOL Total2750570261075471,894",,,,,,,,,,
"",FREEDOM HIGH SCHOOL,Choice,Blank/Bad Addr,1,11,6,,3,5,26
"",,,Alonso,,,,,1,1,2
"",,,Armwood,,,4,,,,4
"",,,Blake,,,1,,,,1
"",,,Bloomingdale,,1,,,,,1
"",,,Chamberlain,1,,1,,,,2
"",,,East Bay,,1,1,,,,2
"",,,Freedom,,3,5,,1,3,12
"",,,Gaither,,1,,,,,1
"",,,Hillsborough,,,1,,,,1
"",,,King,1,6,3,,3,12,25
"",,,Leto,,,1,,,,1
"",,,Middleton,,2,,,,,2
