Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"",Hope Sch Total,,,,2,1,,,2,5
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,1,1,,,,1,3
"",,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,3,1,7,,,1,12
"",,BLAKE HIGH SCHOOL,High,,9,20,,3,16,48
"",,CHAMBERLAIN HIGH SCHOOL,High,1,,2,,,2,5
"",,HILLSBOROUGH HIGH SCHOOL,High,13,1,17,,3,25,59
"",,KING HIGH SCHOOL,High,1,1,,,,,2
"",,LETO HIGH SCHOOL,High,,1,13,,2,6,22
"",,MIDDLETON HIGH SCHOOL,High,2,1,7,1,1,12,24
"",,ROBINSON HIGH SCHOOL,High,,,,,,3,3
"",,JEFFERSON HIGH SCHOOL,High,,9,21,,3,5,38
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,40,35,,9,12,97
"",Magnet Total,,,22,65,122,1,21,83,314
"",Neighborhood,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,2,2,,,,4
"",,CHAMBERLAIN HIGH SCHOOL,High,25,296,580,,46,129,"1,076"
"",,FREEDOM HIGH SCHOOL,High,,2,,,,3,5
"",,GAITHER HIGH SCHOOL,High,1,1,5,,,4,11
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Chamberlain,Neighborhood,LETO HIGH SCHOOL,High,,1,4,,,1,6
"",,NEWSOME HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,,4,,,,4
"",,BLOOMINGDALE HIGH SCHOOL,High,,1,,,,,1
"",,SICKLES HIGH SCHOOL,High,,1,1,,,,2
"",Neighborhood Total,,,26,305,600,,46,138,"1,115"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,4,11,39,,6,35,95
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,8,8,,2,3,21
"",,WEST UNIVERSITY CHARTER HIGH,High,,22,17,,2,3,44
"",,FOCUS ACADEMY,High,,2,5,,,2,9
"",,DR KIRAN C PATEL HIGH SCHOOL,High,2,5,15,,3,9,34
"",Charter Total,,,6,48,84,,13,52,203
"Chamberlain Total644569082983711,899",,,,,,,,,,
Durant,Choice,SUMNER HIGH SCHOOL,High,,,1,,,,1
"",,SPOTO HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,5,,,6,11
"",,ARMWOOD HIGH SCHOOL,High,2,2,,,,1,5
"",,BRANDON HIGH SCHOOL,High,,2,2,,2,4,10
"",,DURANT HIGH SCHOOL,High,,1,7,,,16,24
"",,KING HIGH SCHOOL,High,,,2,,,,2
Durant,,NEWSOME HIGH SCHOOL,High,,,,,,4,4
"",,RIVERVIEW HIGH SCHOOL,High,,1,,,,1,2
"",,PLANT CITY HIGH SCHOOL,High,,2,6,,1,12,21
"",,BLOOMINGDALE HIGH SCHOOL,High,,,3,,,5,8
"",,WHARTON HIGH SCHOOL,High,,1,,,,,1
"",Choice Total,,,2,9,26,,3,50,90
"",Hope Sch,SPOTO HIGH SCHOOL,High,,1,,,,,1
"",,DURANT HIGH SCHOOL,High,,,,,,1,1
"",Hope Sch Total,,,,1,,,,1,2
"",Magnet,SPOTO HIGH SCHOOL,High,,,,,,1,1
"",,LENNARD HIGH SCHOOL,High,,,,,,2,2
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Durant,Magnet,ARMWOOD HIGH SCHOOL,High,,5,5,,2,8,20
"",,BLAKE HIGH SCHOOL,High,,1,1,,,3,5
"",,DURANT HIGH SCHOOL,High,,,1,,,3,4
"",,MIDDLETON HIGH SCHOOL,High,2,1,1,,,3,7
"",,JEFFERSON HIGH SCHOOL,High,1,2,,,,,3
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,13,7,,1,2,24
"",Magnet Total,,,14,24,27,,4,37,106
"",Neighborhood,STRAWBERRY CREST HIGH SCHOOL,High,,,1,,1,1,3
"",,ARMWOOD HIGH SCHOOL,High,,,,,,1,1
"",,BRANDON HIGH SCHOOL,High,,,3,,,1,4
"",,DURANT HIGH SCHOOL,High,60,208,822,5,104,968,"2,167"
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,1,,,,,,1
"",,RIVERVIEW HIGH SCHOOL,High,,,,,,1,1
"",,PLANT CITY HIGH SCHOOL,High,,2,5,,1,4,12
"",,BLOOMINGDALE HIGH SCHOOL,High,,,1,,,1,2
"",Neighborhood Total,,,61,210,833,5,106,977,"2,192"
"",Charter,SEMINOLE HEIGHTS CHARTER SCH,High,,,,,1,,1
"",,WEST UNIVERSITY CHARTER HIGH,High,,,1,,,,1
"",,FOCUS ACADEMY,High,,1,,,,,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,2,,,,,2
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,1,1,,,,2
"",,WINTHROP COLLEGE PREP ACADEMY,High,1,,3,,1,1,6
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,1,,,,,1
"",Charter Total,,,1,5,5,,2,1,14
"Durant Total7824989151151,0662,404",,,,,,,,,,
East Bay,Choice,SUMNER HIGH SCHOOL,High,1,24,19,,5,17,66
"",,SPOTO HIGH SCHOOL,High,,3,2,,,1,6
"",,LENNARD HIGH SCHOOL,High,,6,1,,,12,19
"",,STRAWBERRY CREST HIGH SCHOOL,High,,2,,,,,2
"",,ARMWOOD HIGH SCHOOL,High,,3,1,,,,4
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
East Bay,Choice,DURANT HIGH SCHOOL,High,,1,2,,,,3
"",,EAST BAY HIGH SCHOOL,High,,1,1,,2,7,11
"",,FREEDOM HIGH SCHOOL,High,,1,1,,,,2
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,LETO HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,,,,1,1,2
"",,NEWSOME HIGH SCHOOL,High,,,1,,1,3,5
"",,RIVERVIEW HIGH SCHOOL,High,1,13,16,,1,14,45
"",,ROBINSON HIGH SCHOOL,High,,1,1,,,1,3
"",,JEFFERSON HIGH SCHOOL,High,,1,,,2,1,4
"",,BLOOMINGDALE HIGH SCHOOL,High,,3,,,,,3
"",Choice Total,,,2,61,47,,12,58,180
"",Hope Sch,LENNARD HIGH SCHOOL,High,,,,,3,2,5
"",,EAST BAY HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,,1,,3,2,6
"",Magnet,SPOTO HIGH SCHOOL,High,,4,2,,2,4,12
"",,LENNARD HIGH SCHOOL,High,5,14,18,,7,47,91
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,2,,,,2
"",,ARMWOOD HIGH SCHOOL,High,1,7,,,,4,12
"",,BLAKE HIGH SCHOOL,High,,11,11,,5,11,38
"",,EAST BAY HIGH SCHOOL,High,,,1,,,3,4
"",,HILLSBOROUGH HIGH SCHOOL,High,1,1,2,,1,,5
"",,KING HIGH SCHOOL,High,2,2,1,,2,1,8
"",,MIDDLETON HIGH SCHOOL,High,9,8,11,,4,3,35
East Bay,,ROBINSON HIGH SCHOOL,High,,,1,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,10,4,,,,14
"",,TAMPA BAY TECH HIGH SCHOOL,High,2,54,22,,12,7,97
"",Magnet Total,,,20,111,75,,33,80,319
"",Neighborhood,SUMNER HIGH SCHOOL,High,,4,4,,,1,9
"",,SPOTO HIGH SCHOOL,High,,1,,,,,1
"",,LENNARD HIGH SCHOOL,High,,,2,,,2,4
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
East Bay,Neighborhood,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,1,2,,,,3
"",,EAST BAY HIGH SCHOOL,High,27,473,661,6,98,471,"1,736"
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",,RIVERVIEW HIGH SCHOOL,High,,1,,,,,1
"",,BLOOMINGDALE HIGH SCHOOL,High,1,,,,,,1
"",Neighborhood Total,,,28,484,670,6,98,474,"1,760"
"",Charter,SEMINOLE HEIGHTS CHARTER SCH,High,,1,,,,1,2
"",,FOCUS ACADEMY,High,,1,,,,,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,1,3,,,1,1,6
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,2,1,,,,3
"",,WINTHROP COLLEGE PREP ACADEMY,High,7,58,99,2,29,69,264
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,12,34,,4,11,61
"",Charter Total,,,8,77,134,2,34,82,337
"East Bay Total5873392781806962,602",,,,,,,,,,
Freedom,Choice,STEINBRENNER HIGH SCHOOL,High,,,,,,4,4
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,1,,,,1
"",,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,,1,,,1,2
"",,BLAKE HIGH SCHOOL,High,,,1,,,,1
"",,BRANDON HIGH SCHOOL,High,,,,,,1,1
"",,CHAMBERLAIN HIGH SCHOOL,High,,2,5,,,,7
"",,EAST BAY HIGH SCHOOL,High,,,1,,,,1
"",,FREEDOM HIGH SCHOOL,High,,3,5,,1,3,12
"",,GAITHER HIGH SCHOOL,High,2,5,24,,1,29,61
"",,HILLSBOROUGH HIGH SCHOOL,High,,7,,,2,,9
"",,KING HIGH SCHOOL,High,,,2,,,,2
"",,PLANT HIGH SCHOOL,High,,,,,1,,1
"",,ROBINSON HIGH SCHOOL,High,,1,,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Freedom,Choice,SICKLES HIGH SCHOOL,High,,,1,,1,2,4
"",,TAMPA BAY TECH HIGH SCHOOL,High,,,1,,,,1
"",,WHARTON HIGH SCHOOL,High,,13,3,,,11,27
"",Choice Total,,,2,34,47,,6,51,140
"",Hope Sch,CHAMBERLAIN HIGH SCHOOL,High,,1,,,,,1
"",,GAITHER HIGH SCHOOL,High,,,1,,,,1
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,1,2,,,,3
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,72,2,1,,1,10,86
"",,ARMWOOD HIGH SCHOOL,High,,4,,,,2,6
"",,ALONSO HIGH SCHOOL,High,,,1,,,,1
"",,BLAKE HIGH SCHOOL,High,1,7,12,,2,14,36
"",,FREEDOM HIGH SCHOOL,High,,1,,,,2,3
"",,HILLSBOROUGH HIGH SCHOOL,High,4,3,3,,2,10,22
"",,KING HIGH SCHOOL,High,20,3,1,,4,7,35
"",,LETO HIGH SCHOOL,High,,,2,,,,2
"",,MIDDLETON HIGH SCHOOL,High,58,4,5,1,2,10,80
"",,ROBINSON HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,6,4,,2,,12
"",,TAMPA BAY TECH HIGH SCHOOL,High,3,32,19,,2,11,67
"",Magnet Total,,,158,62,48,1,15,67,351
"",Neighborhood,ALONSO HIGH SCHOOL,High,,1,,,,,1
"",,BLAKE HIGH SCHOOL,High,1,2,,,,,3
"",,CHAMBERLAIN HIGH SCHOOL,High,,,1,,,,1
"",,EAST BAY HIGH SCHOOL,High,,,1,,,,1
"",,FREEDOM HIGH SCHOOL,High,71,435,759,1,99,349,"1,714"
"",,GAITHER HIGH SCHOOL,High,,,2,,,2,4
"",,HILLSBOROUGH HIGH SCHOOL,High,,,,,1,,1
"",,KING HIGH SCHOOL,High,,2,,,,,2
"",,LETO HIGH SCHOOL,High,,,2,,,,2
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Freedom,Neighborhood,WHARTON HIGH SCHOOL,High,1,4,1,,,1,7
"",Neighborhood Total,,,73,446,766,1,100,352,"1,738"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,15,5,20,,14,46,100
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,5,2,,,2,9
"",,WEST UNIVERSITY CHARTER HIGH,High,,43,65,1,3,6,118
"",,FOCUS ACADEMY,High,,,1,,2,1,4
"",,DR KIRAN C PATEL HIGH SCHOOL,High,17,7,22,,7,31,84
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,2,,,1,3
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,,1,,,,1
"",Charter Total,,,32,60,113,1,26,87,319
"Freedom Total26560397631475572,551",,,,,,,,,,
Gaither,Choice,STEINBRENNER HIGH SCHOOL,High,,,4,,,1,5
"",,ALONSO HIGH SCHOOL,High,,,2,,,1,3
"",,CHAMBERLAIN HIGH SCHOOL,High,,,2,,,,2
"",,FREEDOM HIGH SCHOOL,High,,1,,,,,1
"",,GAITHER HIGH SCHOOL,High,1,8,14,,2,9,34
"",,HILLSBOROUGH HIGH SCHOOL,High,,2,,,,1,3
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,LETO HIGH SCHOOL,High,,,2,,,,2
"",,PLANT HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,1,2,,,,3
"",,SICKLES HIGH SCHOOL,High,,,5,,,7,12
"",Choice Total,,,1,13,31,,2,20,67
"",Magnet,LENNARD HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,,,1,,1
"",,ALONSO HIGH SCHOOL,High,1,2,7,,,1,11
"",,BLAKE HIGH SCHOOL,High,2,1,3,,3,4,13
"",,HILLSBOROUGH HIGH SCHOOL,High,9,5,1,,6,7,28
"",,LETO HIGH SCHOOL,High,,,1,,3,,4
"",,MIDDLETON HIGH SCHOOL,High,1,,,,,4,5
"",,ROBINSON HIGH SCHOOL,High,,1,1,,,1,3
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Gaither,Magnet,TAMPA BAY TECH HIGH SCHOOL,High,2,3,6,,3,3,17
"",Magnet Total,,,15,13,23,,18,22,91
"",Neighborhood,ARMWOOD HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,,1,,,,1
"",,CHAMBERLAIN HIGH SCHOOL,High,,,,,,1,1
"",,FREEDOM HIGH SCHOOL,High,,2,1,,,,3
"",,GAITHER HIGH SCHOOL,High,48,136,821,2,106,557,"1,670"
"",,HILLSBOROUGH HIGH SCHOOL,High,,,1,,,1,2
"",,LETO HIGH SCHOOL,High,,2,2,,,,4
"",,MIDDLETON HIGH SCHOOL,High,,1,1,,1,,3
"",,SICKLES HIGH SCHOOL,High,1,,4,,,,5
"",Neighborhood Total,,,49,142,831,2,107,560,"1,691"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,3,10,,,11,24
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,,4,,,,4
"",,WEST UNIVERSITY CHARTER HIGH,High,1,1,22,,4,6,34
"",,FOCUS ACADEMY,High,,,1,,,,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,2,1,3,1,2,3,12
"",Charter Total,,,3,5,40,1,6,20,75
"Gaither Total6817392531336221,924",,,,,,,,,,
Hillsborough,Choice,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,2,3,,,,5
"",,BLAKE HIGH SCHOOL,High,,2,2,,,,4
"",,CHAMBERLAIN HIGH SCHOOL,High,1,3,5,,2,1,12
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,1,2,,2,4,9
"",,HILLSBOROUGH HIGH SCHOOL,High,,8,12,,4,3,27
"",,LETO HIGH SCHOOL,High,,1,28,,2,4,35
"",,MIDDLETON HIGH SCHOOL,High,,2,1,,,,3
"",,PLANT HIGH SCHOOL,High,,,2,,,,2
"",,ROBINSON HIGH SCHOOL,High,,,3,,,1,4
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Hillsborough,Choice,SICKLES HIGH SCHOOL,High,,,,,1,,1
"",Choice Total,,,2,23,70,1,11,14,121
"",Hope Sch,CHAMBERLAIN HIGH SCHOOL,High,,,,,,1,1
"",,LETO HIGH SCHOOL,High,,,,,,1,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,1,1,,,2,4
"",Magnet,ARMWOOD HIGH SCHOOL,High,,3,,,,,3
"",,ALONSO HIGH SCHOOL,High,,1,5,,1,,7
"",,BLAKE HIGH SCHOOL,High,1,9,20,,7,29,66
"",,HILLSBOROUGH HIGH SCHOOL,High,2,13,42,1,5,35,98
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,LETO HIGH SCHOOL,High,3,1,23,,1,1,29
"",,MIDDLETON HIGH SCHOOL,High,2,5,7,,1,13,28
"",,ROBINSON HIGH SCHOOL,High,,1,1,,,2,4
"",,JEFFERSON HIGH SCHOOL,High,,11,28,,2,5,46
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,29,19,,5,4,58
"",Magnet Total,,,9,74,145,1,22,89,340
"",Neighborhood,SUMNER HIGH SCHOOL,High,,2,,,,,2
"",,SPOTO HIGH SCHOOL,High,,1,,,,,1
"",,LENNARD HIGH SCHOOL,High,,,,,1,,1
"",,ARMWOOD HIGH SCHOOL,High,,,1,,,,1
"",,BLAKE HIGH SCHOOL,High,,4,1,,,,5
"",,BRANDON HIGH SCHOOL,High,,,1,,,1,2
"",,CHAMBERLAIN HIGH SCHOOL,High,,,1,,,1,2
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,,1,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,21,347,580,,33,118,"1,099"
"",,LETO HIGH SCHOOL,High,,,7,,,,7
"",,MIDDLETON HIGH SCHOOL,High,,4,1,,1,1,7
"",,PLANT HIGH SCHOOL,High,,,,,1,2,3
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Hillsborough,Neighborhood,ROBINSON HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,2,,,,,2
"",Neighborhood Total,,,21,362,594,,36,123,"1,136"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,6,16,,4,11,38
"",,SEMINOLE HEIGHTS CHARTER SCH,High,1,41,37,,1,8,88
"",,WEST UNIVERSITY CHARTER HIGH,High,,2,1,,,1,4
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,2,3,,1,4,10
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,1,,1,,2
"",Charter Total,,,2,51,58,,7,24,142
"Hillsborough Total345118682762521,743",,,,,,,,,,
Jefferson,Choice,STRAWBERRY CREST HIGH SCHOOL,High,,,,,,1,1
"",,ALONSO HIGH SCHOOL,High,,2,7,,,,9
"",,BLAKE HIGH SCHOOL,High,,,1,,,,1
"",,CHAMBERLAIN HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,,1,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,,1
"",,KING HIGH SCHOOL,High,,,1,,,,1
"",,LETO HIGH SCHOOL,High,,,14,,1,3,18
"",,PLANT HIGH SCHOOL,High,,,,,1,,1
"",,ROBINSON HIGH SCHOOL,High,,,2,,2,2,6
"",,JEFFERSON HIGH SCHOOL,High,,3,8,,,,11
"",,SICKLES HIGH SCHOOL,High,,,,,,2,2
"",Choice Total,,,,6,35,,4,8,53
"",Magnet,ARMWOOD HIGH SCHOOL,High,,,1,,,,1
"",,ALONSO HIGH SCHOOL,High,1,1,7,,,,9
"",,BLAKE HIGH SCHOOL,High,1,5,7,,1,4,18
"",,HILLSBOROUGH HIGH SCHOOL,High,,,1,,1,,2
"",,LETO HIGH SCHOOL,High,1,,11,,2,1,15
"",,MIDDLETON HIGH SCHOOL,High,,1,10,,,2,13
"",,ROBINSON HIGH SCHOOL,High,1,,8,,1,1,11
"",,JEFFERSON HIGH SCHOOL,High,,7,53,,2,6,68
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Jefferson,Magnet Total,,,4,18,104,,8,16,150
"",Neighborhood,BLAKE HIGH SCHOOL,High,,2,1,,,1,4
"",,GAITHER HIGH SCHOOL,High,,,1,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,,2,,,,2
"",,LETO HIGH SCHOOL,High,,,2,,,,2
"",,ROBINSON HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,10,84,500,,16,38,648
"",,SICKLES HIGH SCHOOL,High,,,1,,,,1
"",Neighborhood Total,,,10,87,507,,16,39,659
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,,8,,1,,10
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,4,5,,1,1,11
"",,FOCUS ACADEMY,High,,,,,1,,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,1,1,1,,,,3
"",Charter Total,,,2,5,14,,3,1,25
Jefferson Total161166603164887,,,,,,,,,,
King,Choice,SPOTO HIGH SCHOOL,High,,2,,,,,2
"",,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,2,,,,7,9
"",,ARMWOOD HIGH SCHOOL,High,,9,1,,2,6,18
"",,ALONSO HIGH SCHOOL,High,,1,,,1,1,3
"",,BLAKE HIGH SCHOOL,High,,2,,,,,2
"",,BRANDON HIGH SCHOOL,High,,2,2,,,1,5
"",,CHAMBERLAIN HIGH SCHOOL,High,,7,6,,2,1,16
"",,DURANT HIGH SCHOOL,High,,,,,,1,1
