"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,ADVANTAGE ACADEMY OF HILLSBOROUGH,Charter,Blank/Bad Addr,,,5,,,5,10
"",,,Mann,,,1,,,,1
"",,,Marshall,,7,48,,,9,64
"",,,Tomlin,3,2,42,,1,13,61
"",,,Turkey Creek,,1,14,,1,2,18
"",,Charter Total,,3,10,110,,2,29,154
"",ADVANTAGE ACADEMY OF HILLSBOROUGH Total,,,3,10,110,,2,29,154
"",BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Blank/Bad Addr,,1,1,,,,2
"",,,Adams,,,1,,,,1
"",,,Barrington,,,,,,1,1
"",,,Burnett,,1,1,,,,2
"",,,Burns,,2,2,,,,4
"",,,Collins,,4,2,,,1,7
"",,,Dowdell,,2,10,,,1,13
"",,,Eisenhower,,17,12,,1,1,31
"",,,Giunta,1,69,95,,12,14,191
"",,,Greco,,2,1,,1,,4
"",,,Jennings,,5,1,,3,,9
"",,,Madison,,,1,,,,1
"",,,Mann,,3,7,,,1,11
"",,,McLane,1,25,28,,3,6,63
"",,,Monroe,,1,,,,,1
"",,,Mulrennan,,,2,,,1,3
"",,,Rodgers,,15,12,,5,1,33
"",,,Shields,,12,3,,,2,17
"",,,Stewart,,2,,,,,2
"",,,Woodson K-8,,1,,,,,1
"",,Charter Total,,2,162,179,,25,29,397
"",BRIDGEPREP ACADEMY OF RIVERVIEW Total,,,2,162,179,,25,29,397
"",BRIDGEPREP ACADEMY OF TAMPA,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Adams,,1,1,,,,2
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF TAMPA,Charter,Coleman,,,1,,,1,2
"",,,Eisenhower,,,1,,,,1
"",,,Giunta,,5,2,,2,,9
"",,,Greco,,2,2,,,2,6
"",,,Hill,,1,,,,,1
"",,,Jennings,,2,4,,,2,8
"",,,Liberty,,,1,,,,1
"",,,Madison,,2,19,,2,8,31
"",,,Mann,,,4,,,1,5
"",,,McLane,,1,1,,1,,3
"",,,Memorial,,1,8,,,,9
"",,,Monroe,1,4,10,,3,9,27
"",,,Pierce,,1,8,,,,9
"",,,Rodgers,,2,1,,,,3
"",,,Shields,,1,2,,,1,4
"",,,Sligh,,1,1,,,,2
"",,,Stewart,,1,,,,,1
"",,,Turner/Bartels K-8,,,1,,,,1
"",,,Webb,,,,,,2,2
"",,,Wilson,1,,1,,2,,4
"",,,Woodson K-8,,,2,,,,2
"",,Charter Total,,2,27,71,,10,27,137
"",BRIDGEPREP ACADEMY OF TAMPA Total,,,2,27,71,,10,27,137
"",CARROLLWOOD K-8 SCHOOL,Choice,Adams,,,1,,,1,2
"",,,Pierce,,,1,,,1,2
"",,,Webb,,,,,1,,1
"",,Choice Total,,,,2,,1,2,5
"",,Neighborhood,Blank/Bad Addr,,,1,,,,1
"",,,Adams,,,2,,,1,3
"",,,Carrollwood K-8,1,5,21,,3,20,50
"",,,Madison,,1,,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CARROLLWOOD K-8 SCHOOL,Neighborhood,Sligh,,,1,,,,1
"",,Neighborhood Total,,1,6,29,,3,21,60
"",CARROLLWOOD K-8 SCHOOL Total,,,1,6,31,,4,23,65
"",CHANNELSIDE ACAD MATH AND SCI,Charter,Blank/Bad Addr,,,,,1,,1
"",,,Adams,,1,1,,,1,3
"",,,Benito,,1,,,,,1
"",,,Buchanan,,,,,,1,1
"",,,Burnett,,1,,,,,1
"",,,Dowdell,,1,2,,,,3
"",,,Eisenhower,,1,,,,,1
"",,,Farnell,,,1,,,,1
"",,,Giunta,,,4,,,1,5
"",,,Greco,,,4,,,3,7
"",,,Jennings,,1,,,,,1
"",,,Madison,,1,5,1,,3,10
"",,,Mann,,1,2,,,2,5
"",,,McLane,,4,7,,3,1,15
"",,,Memorial,,3,2,,,1,6
"",,,Monroe,,3,,,,4,7
"",,,Mulrennan,1,,,,,,1
"",,,Pierce,,1,2,,,,3
"",,,Rodgers,,,2,,,1,3
"",,,Shields,,1,1,,,1,3
"",,,Sligh,,2,,,1,,3
"",,,Stewart,,6,,,,,6
"",,,Sulphur Springs K-8,,3,1,,,,4
"",,,Wilson,,,,,1,,1
"",,,Woodson K-8,,,3,,,,3
"",,Charter Total,,1,31,37,1,6,19,95
"",CHANNELSIDE ACAD MATH AND SCI Total,,,1,31,37,1,6,19,95
"",COLLINS PK-8 SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,COLLINS PK-8 SCHOOL,Choice,Eisenhower,,3,4,,2,4,13
"",,,Rodgers,,,,,3,4,7
"",,,Shields,,1,2,,1,5,9
"",,Choice Total,,,4,6,,6,18,34
"",,Magnet,Eisenhower,1,,,,,,1
"",,Magnet Total,,1,,,,,,1
"",,Neighborhood,Blank/Bad Addr,,,,,,1,1
"",,,Buchanan,,1,,,1,,2
"",,,Collins,17,107,119,,36,152,431
"",,,Eisenhower,1,1,,,,,2
"",,,Giunta,,,,,1,1,2
"",,,Rodgers,,,2,,1,,3
"",,,Shields,,,1,,,,1
"",,Neighborhood Total,,18,109,122,,39,154,442
"",COLLINS PK-8 SCHOOL Total,,,19,113,128,,45,172,477
"",CREEKSIDE CHARTER ACADEMY,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Barrington,,,1,,,,1
"",,,Benito,,,,,1,,1
"",,,Burns,,,1,,,,1
"",,,Collins,,1,1,,,2,4
"",,,Dowdell,,,2,,1,,3
"",,,Eisenhower,2,47,46,,14,26,135
"",,,Giunta,,3,1,,,,4
"",,,Greco,,1,,,,,1
"",,,Mann,,,1,,,,1
"",,,McLane,1,1,3,,1,1,7
"",,,Mulrennan,,,,,,2,2
"",,,Pierce,,,1,,,1,2
"",,,Rodgers,,3,10,,,5,18
"",,,Sgt. Smith,,,1,,,,1
"",,,Shields,,26,47,,3,9,85
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CREEKSIDE CHARTER ACADEMY,Charter,Woodson K-8,,1,,,,,1
"",,Charter Total,,3,84,118,,20,46,271
"",CREEKSIDE CHARTER ACADEMY Total,,,3,84,118,,20,46,271
"",HENDERSON HAMMOCK CHARTER SCH,Charter,Blank/Bad Addr,,,2,,2,2,6
"",,,Adams,1,,18,,,1,20
"",,,Buchanan,,,6,,,,6
"",,,Burnett,,,1,,,,1
"",,,Carrollwood K-8,,,3,,,,3
"",,,Davidsen,,,16,,,1,17
"",,,Farnell,,,3,,1,,4
"",,,Greco,,1,,,,,1
"",,,Hill,,,13,,,,13
"",,,Jennings,,,1,,,,1
"",,,Madison,,,5,,,1,6
"",,,Mann,,,2,,,,2
"",,,Memorial,1,2,49,,1,,53
"",,,Monroe,,,1,,,,1
"",,,Pierce,2,12,113,,3,10,140
"",,,Sgt. Smith,2,6,64,1,1,7,81
"",,,Sligh,,,2,,,,2
"",,,Turner/Bartels K-8,,1,,,,,1
"",,,Webb,2,2,65,,5,3,77
"",,,Woodson K-8,,,1,,,1,2
"",,Charter Total,,8,24,365,1,13,26,437
"",,Neighborhood,Webb,,,1,,,,1
"",,Neighborhood Total,,,,1,,,,1
"",HENDERSON HAMMOCK CHARTER SCH Total,,,8,24,366,1,13,26,438
"",HILLSBOROUGH ACAD MATH SCIENCE,Charter,Blank/Bad Addr,,,2,,,2,4
"",,,Adams,,,3,,,,3
"",,,Benito,,,1,,,,1
"",,,Carrollwood K-8,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HILLSBOROUGH ACAD MATH SCIENCE,Charter,Davidsen,3,3,49,,2,10,67
"",,,Farnell,2,1,16,,2,15,36
"",,,Greco,,1,,,,,1
"",,,Hill,,,5,,,1,6
"",,,McLane,,,2,,1,,3
"",,,Memorial,,,4,,,,4
"",,,Pierce,,1,23,,1,3,28
"",,,Sgt. Smith,1,,29,,1,3,34
"",,,Sligh,,,,,,1,1
"",,,Webb,2,2,74,,1,15,94
"",,Charter Total,,8,8,208,,8,52,284
"",HILLSBOROUGH ACAD MATH SCIENCE Total,,,8,8,208,,8,52,284
"",HORIZON CHARTER SCH OF TAMPA,Charter,Blank/Bad Addr,1,,1,,1,1,4
"",,,Adams,,,3,,,,3
"",,,Buchanan,,,1,,,,1
"",,,Davidsen,2,,4,,1,1,8
"",,,Farnell,2,1,,,,2,5
"",,,Giunta,,,2,,,,2
"",,,Greco,,,,,,2,2
"",,,Hill,,,,,1,,1
"",,,Jennings,,,1,,,,1
"",,,Madison,,,2,,,,2
"",,,Martinez,,,1,,,1,2
"",,,Memorial,,,5,,,1,6
"",,,Pierce,1,,7,,,2,10
"",,,Sgt. Smith,,,10,,,2,12
"",,,Sligh,,,,,,1,1
"",,,Webb,2,1,29,,2,5,39
"",,Charter Total,,8,2,66,,5,18,99
"",HORIZON CHARTER SCH OF TAMPA Total,,,8,2,66,,5,18,99
"",INDEPENDENCE ACADEMY,Charter,Blank/Bad Addr,,,2,,1,10,13
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,INDEPENDENCE ACADEMY,Charter,Giunta,,,,,,2,2
"",,,Greco,,1,,,,1,2
"",,,Jennings,,,7,,3,13,23
"",,,Liberty,,,1,,,,1
"",,,Mann,5,2,10,,1,14,32
"",,,Marshall,,1,9,,2,37,49
"",,,McLane,,,2,,,7,9
"",,,Mulrennan,,1,,,,7,8
"",,,Rodgers,,,,,1,,1
"",,,Shields,,,,,,1,1
"",,,Tomlin,1,6,24,1,3,42,77
"",,,Turkey Creek,1,1,14,,1,25,42
"",,Charter Total,,9,17,86,1,14,208,335
"",INDEPENDENCE ACADEMY Total,,,9,17,86,1,14,208,335
"",KIDS COMMU COLLEGE SOUTHEAST,Charter,Barrington,1,6,2,,1,3,13
"",,,Burnett,1,,,,,,1
"",,,Burns,,,,,,1,1
"",,,Collins,,3,1,,1,1,6
"",,,Dowdell,,1,,,1,3,5
"",,,Eisenhower,2,20,15,,4,6,47
"",,,Farnell,,,1,,,,1
"",,,Giunta,,6,2,,,2,10
"",,,Greco,,,1,,,,1
"",,,Jennings,,,1,,1,,2
"",,,Mann,,2,,,,,2
"",,,McLane,1,2,3,,1,1,8
"",,,Monroe,,,1,,,,1
"",,,Rodgers,2,17,22,,7,13,61
"",,,Shields,,5,1,,,1,7
"",,Charter Total,,7,62,50,,16,31,166
"",KIDS COMMU COLLEGE SOUTHEAST Total,,,7,62,50,,16,31,166
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LEARNING GATE COMMUNITY,Charter,Adams,3,3,9,,2,16,33
"",,,Benito,1,1,2,,1,2,7
"",,,Buchanan,,,10,,3,33,46
"",,,Burns,,,1,,,,1
"",,,Carrollwood K-8,,,,,,2,2
"",,,Eisenhower,,,,,1,,1
"",,,Giunta,,1,1,,,,2
"",,,Greco,,,4,,2,7,13
"",,,Hill,,,4,,,7,11
"",,,Jennings,,,,,,1,1
"",,,Liberty,,,10,,5,32,47
"",,,Martinez,,,2,,1,6,9
"",,,Memorial,,,,,1,3,4
"",,,Pierce,,,,,,4,4
"",,,Sgt. Smith,,,1,,,1,2
"",,,Sligh,,,,,1,6,7
"",,,Sulphur Springs K-8,,,,,,1,1
"",,,Turner/Bartels K-8,,1,2,,1,2,6
"",,,Webb,,1,,,,,1
"",,,Woodson K-8,,,1,,,,1
"",,Charter Total,,5,14,61,,26,171,277
"",LEARNING GATE COMMUNITY Total,,,5,14,61,,26,171,277
"",LEGACY PREPARATORY ACADEMY,Charter,Blank/Bad Addr,,,1,,,,1
"",,,Adams,,6,9,,,2,17
"",,,Benito,,2,,,,,2
"",,,Buchanan,,1,,,,,1
"",,,Greco,,2,1,,,,3
"",,,Jennings,,1,1,,,,2
"",,,Liberty,,1,2,,1,,4
"",,,McLane,,7,1,,1,,9
"",,,Memorial,1,,,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LEGACY PREPARATORY ACADEMY,Charter,Sulphur Springs K-8,,3,3,,,1,7
"",,,Turner/Bartels K-8,,2,,,,,2
"",,,Woodson K-8,,2,2,,1,,5
"",,Charter Total,,1,28,20,,3,3,55
"",LEGACY PREPARATORY ACADEMY Total,,,1,28,20,,3,3,55
"",LITERACY LEADERSHIP TECH ACAD,Charter,Barrington,,1,1,,,,2
"",,,Buchanan,,1,,,,,1
"",,,Burnett,,,2,,,,2
"",,,Burns,,,3,,,5,8
"",,,Collins,,2,3,,1,,6
"",,,Dowdell,,1,10,,1,1,13
"",,,Eisenhower,,5,3,,2,20,30
"",,,Giunta,1,9,30,,4,31,75
"",,,Greco,,,1,,,,1
"",,,Jennings,,2,1,,1,2,6
"",,,Liberty,1,,,,,,1
"",,,Madison,,,,,,1,1
"",,,Mann,,1,1,,1,3,6
"",,,Marshall,,,,1,,,1
"",,,McLane,,,6,,2,8,16
"",,,Mulrennan,,1,2,,,,3
"",,,Randall,,,1,,,,1
"",,,Rodgers,,4,3,,1,14,22
"",,,Shields,,2,2,,1,2,7
"",,,Sligh,,1,,,,,1
"",,,Turkey Creek,,,,,,1,1
"",,Charter Total,,2,30,69,1,14,88,204
"",LITERACY LEADERSHIP TECH ACAD Total,,,2,30,69,1,14,88,204
"",LITERACY LEADERSHIP TECH SOUTH BAY,Charter,Barrington,,,,,,3,3
"",,,Burns,,,,,,2,2
"",,,Dowdell,,,1,,,1,2
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LITERACY LEADERSHIP TECH SOUTH BAY,Charter,Giunta,,,1,,1,,2
"",,,McLane,,,1,,1,,2
"",,,Rodgers,,,1,,,1,2
"",,,Shields,4,51,85,2,14,92,248
"",,Charter Total,,7,60,108,2,23,147,347
"",LITERACY LEADERSHIP TECH SOUTH BAY       Total,,,7,60,108,2,23,147,347
"",LUTZ K-8 SCHOOL,Choice,Blank/Bad Addr,,,4,,1,8,13
"",,,Adams,,,3,,1,6,10
"",,,Buchanan,1,,27,,6,58,92
"",,,Carrollwood K-8,,,,,,1,1
"",,,Greco,,1,,,1,,2
"",,,Hill,,,,,,1,1
"",,,Liberty,4,5,29,,6,55,99
"",,,Martinez,,,,,,2,2
"",,,Memorial,,,,,,2,2
"",,,Pierce,,,,,1,1,2
"",,,Sligh,,,,,,1,1
"",,,Tomlin,,,1,,,,1
"",,,Turner/Bartels K-8,,,,,,1,1
"",,Choice Total,,5,6,64,,16,136,227
"",,Neighborhood,Buchanan,,,,,,3,3
"",,Neighborhood Total,,,,,,,3,3
"",LUTZ K-8 SCHOOL Total,,,5,6,64,,16,139,230
"",LUTZ PREPARATORY SCHOOL,Charter,Blank/Bad Addr,7,1,10,,4,47,69
"",,,Adams,,1,1,,1,12,15
"",,,Benito,3,1,,,3,12,19
"",,,Buchanan,2,1,4,,1,24,32
"",,,Carrollwood K-8,,,1,,,,1
"",,,Hill,1,,1,,2,4,8
"",,,Jennings,,1,,,,,1
"",,,Liberty,7,1,6,2,4,37,57
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LUTZ PREPARATORY SCHOOL,Charter,Martinez,8,,7,,,20,35
"",,,Sgt. Smith,1,,1,,,,2
"",,,Turner/Bartels K-8,7,,1,,2,10,20
"",,,Webb,,,1,,,,1
"",,,Woodson K-8,,,,,,1,1
"",,Charter Total,,36,6,34,2,17,167,262
"",LUTZ PREPARATORY SCHOOL Total,,,36,6,34,2,17,167,262
"",MANISCALCO K-8 SCHOOL,Choice,Blank/Bad Addr,,1,1,,3,3,8
"",,,Adams,,1,3,,,3,7
"",,,Benito,,,1,,,,1
"",,,Buchanan,1,9,27,,3,14,54
"",,,Giunta,,,,,,1,1
"",,,Hill,,,2,,,,2
"",,,Liberty,1,4,31,1,7,47,91
"",,,Martinez,,,1,,1,1,3
"",,,McLane,,1,,,,,1
"",,,Memorial,,,1,,,,1
"",,,Monroe,,,,,1,,1
"",,,Rodgers,,,,,2,,2
"",,,Sgt. Smith,,1,,,,,1
"",,,Turner/Bartels K-8,,1,1,,,1,3
"",,,Woodson K-8,,,2,,,,2
"",,Choice Total,,2,18,70,1,17,70,178
"",,District Assigned,Hill,,,1,,,,1
"",,District Assigned Total,,,,1,,,,1
"",,Neighborhood,Buchanan,,,1,,,,1
"",,,Liberty,,,1,,,,1
"",,Neighborhood Total,,,,2,,,,2
"",MANISCALCO K-8 SCHOOL Total,,,2,18,73,1,17,70,181
"",NAVIGATOR ACADEMY OF LEADERSHI,Charter,Barrington,,1,3,,,4,8
"",,,Benito,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,NAVIGATOR ACADEMY OF LEADERSHI,Charter,Burns,1,10,18,,5,25,59
"",,,Collins,,,,,,1,1
"",,,Eisenhower,,1,,,,,1
"",,,Giunta,1,1,8,,2,7,19
"",,,Jennings,,2,2,,,,4
"",,,Madison,,,1,,,,1
"",,,Mann,6,4,10,,1,14,35
"",,,Marshall,,1,,,,,1
"",,,McLane,1,4,27,,4,12,48
"",,,Mulrennan,1,1,17,,1,8,28
"",,,Randall,,,1,,,3,4
"",,,Rodgers,3,6,15,,2,9,35
"",,,Shields,,1,1,,,1,3
"",,,Tomlin,,,1,,,,1
"",,,Turkey Creek,,,,,,3,3
"",,Charter Total,,13,32,106,,15,89,255
"",NAVIGATOR ACADEMY OF LEADERSHI Total,,,13,32,106,,15,89,255
"",NEW SPRINGS SCHOOL,Charter,Blank/Bad Addr,,1,,,,1,2
"",,,Adams,,7,14,,1,1,23
"",,,Benito,,1,,,,,1
"",,,Buchanan,,4,1,,,,5
"",,,Burnett,,2,,1,,2,5
"",,,Collins,,,1,,,,1
"",,,Dowdell,,1,,,,,1
"",,,Farnell,,,1,,,,1
"",,,Giunta,,4,,,,,4
"",,,Greco,7,12,3,,4,7,33
"",,,Jennings,,7,1,,,1,9
"",,,Liberty,1,3,1,,,,5
"",,,Madison,,,1,,,,1
"",,,McLane,,3,1,,,,4
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,NEW SPRINGS SCHOOL,Charter,Pierce,,,1,,,,1
"",,,Shields,,,1,,,,1
"",,,Sligh,1,4,11,,,,16
"",,,Sulphur Springs K-8,,9,2,,,,11
"",,,Turner/Bartels K-8,,1,1,,,,2
"",,,Woodson K-8,1,9,23,,1,2,36
"",,Charter Total,,10,69,66,1,6,15,167
"",NEW SPRINGS SCHOOL Total,,,10,69,66,1,6,15,167
"",PIZZO K-8 SCHOOL,Choice,Blank/Bad Addr,,,1,,,1,2
"",,,Adams,,7,1,,2,1,11
"",,,Benito,2,9,4,,,,15
"",,,Buchanan,,,5,,,,5
"",,,Burnett,,1,,,,,1
"",,,Burns,,,1,,,,1
"",,,Eisenhower,,,2,,,,2
"",,,Greco,,23,24,,2,5,54
"",,,Jennings,,,3,,,,3
"",,,Liberty,,2,3,,,,5
"",,,McLane,,2,,,,,2
"",,,Memorial,,,1,,,,1
"",,,Pierce,,1,,,,,1
"",,,Turner/Bartels K-8,,6,38,,1,1,46
"",,,Woodson K-8,,1,5,,,3,9
"",,Choice Total,,2,52,88,,5,11,158
"",,Neighborhood,Buchanan,,,3,,,,3
"",,,Burnett,,,1,,,1,2
"",,,Greco,,1,1,,1,1,4
"",,,Hill,,,1,,,,1
"",,,Liberty,,1,,,,,1
"",,,Turner/Bartels K-8,,,3,,1,,4
"",,,Woodson K-8,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,PIZZO K-8 SCHOOL Total,,,2,54,98,,7,13,174
"",PLATO ACADEMY TAMPA CHARTER SCH,Charter,Blank/Bad Addr,,,1,,,3,4
"",,,Adams,,,3,,,3,6
"",,,Buchanan,,,1,,,,1
"",,,Davidsen,,,2,,,4,6
"",,,Farnell,,,,,1,4,5
"",,,Hill,4,,6,,2,6,18
"",,,Madison,,,,,,1,1
"",,,Memorial,,,7,,,1,8
"",,,Pierce,,1,7,,1,6,15
"",,,Sgt. Smith,1,2,9,,1,6,19
"",,,Webb,,,3,,,,3
"",,Charter Total,,5,3,39,,5,34,86
"",PLATO ACADEMY TAMPA CHARTER SCH Total,,,5,3,39,,5,34,86
"",RAMPELLO K-8,Magnet,Blank/Bad Addr,,2,3,,,,5
"",,,Adams,,1,2,1,1,5,10
"",,,Barrington,,1,,,,,1
"",,,Benito,,1,1,,,,2
"",,,Buchanan,,,1,,,1,2
"",,,Burnett,,3,1,,1,1,6
"",,,Burns,,,2,,,3,5
"",,,Coleman,,,1,,2,5,8
"",,,Collins,,1,,,,1,2
"",,,Davidsen,,,1,,,,1
"",,,Dowdell,,2,,,,,2
"",,,Eisenhower,1,7,3,,1,1,13
"",,,Farnell,,,1,,,,1
"",,,Giunta,,12,15,,2,9,38
"",,,Greco,,9,,,1,5,15
"",,,Hill,,1,1,,,,2
"",,,Jennings,,7,3,,,,10
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,RAMPELLO K-8,Magnet,Madison,,12,12,,3,19,46
"",,,Mann,,5,1,,2,3,11
"",,,Marshall,,1,,,1,,2
"",,,McLane,,10,2,,,2,14
"",,,Memorial,,2,13,,4,8,27
"",,,Monroe,,2,5,,4,16,27
"",,,Mulrennan,,3,1,,1,,5
"",,,Pierce,,4,3,,1,1,9
"",,,Rodgers,1,2,4,,,,7
"",,,Shields,,7,5,,,1,13
"",,,Sligh,,6,3,,,4,13
"",,,Stewart,,5,1,,1,3,10
"",,,Tinker K-8,,,1,,,,1
"",,,Tomlin,,1,1,,1,1,4
"",,,Turner/Bartels K-8,,1,,,,,1
"",,,Webb,,1,1,,2,2,6
"",,,Wilson,,3,2,,,,5
"",,,Woodson K-8,,1,,,,,1
"",,Magnet Total,,2,114,90,1,28,91,326
"",RAMPELLO K-8 Total,,,2,114,90,1,28,91,326
"",RCMA WIMAUMA COMMUNITY ACADEMY,Charter,Barrington,,,6,,,,6
"",,,Eisenhower,,,7,,,,7
"",,,Rodgers,,,2,,,,2
"",,,Shields,,,108,,,1,109
"",,Charter Total,,,,123,,,1,124
"",RCMA WIMAUMA COMMUNITY ACADEMY Total,,,,,123,,,1,124
"",RIVERVIEW ACADEMY OF MATH SCI,Charter,Barrington,,1,12,,1,3,17
"",,,Burnett,1,,,,,,1
"",,,Burns,,1,,,,,1
"",,,Collins,2,7,10,,,7,26
"",,,Davidsen,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,RIVERVIEW ACADEMY OF MATH SCI,Charter,Eisenhower,4,43,63,,14,39,163
"",,,Farnell,,1,,,,,1
"",,,Giunta,,3,8,,2,4,17
"",,,Greco,,1,,,,,1
"",,,Jennings,,,1,,1,,2
"",,,Liberty,,1,,,,,1
"",,,Madison,,1,,,,,1
"",,,Mann,,,1,,,,1
"",,,McLane,,3,2,,1,,6
"",,,Mulrennan,,2,1,,,1,4
"",,,Pierce,,1,,,,,1
"",,,Rodgers,11,31,57,,11,33,143
"",,,Shields,,9,8,,2,8,27
"",,Charter Total,,18,110,184,,37,106,455
"",RIVERVIEW ACADEMY OF MATH SCI Total,,,18,110,184,,37,106,455
"",ROLAND PARK K-8 MAGNET,Magnet,Blank/Bad Addr,,2,,,,3,5
"",,,Adams,,6,6,,,,12
"",,,Benito,,2,,,,,2
"",,,Buchanan,,,1,,,1,2
