"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"",,,Burnett,,3,,,,,3
"",,,Burns,,,,,1,1,2
"",,,Carrollwood K-8,,,2,,,,2
"",,,Coleman,3,,5,,6,14,28
"",,,Davidsen,3,,,,,1,4
"",,,Dowdell,,1,,,,,1
"",,,Eisenhower,,2,3,,1,,6
"",,,Farnell,4,2,,,,1,7
"",,,Giunta,2,8,1,,,,11
"",,,Greco,,7,2,,1,2,12
"",,,Hill,2,,4,,,4,10
"",,,Jennings,,3,1,,1,1,6
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,ROLAND PARK K-8 MAGNET,Magnet,Madison,4,9,27,,8,16,64
"",,,Mann,,,2,,,,2
"",,,Marshall,,,,,1,,1
"",,,Martinez,1,,,,,1,2
"",,,McLane,,1,5,,2,,8
"",,,Memorial,1,3,9,,2,3,18
"",,,Monroe,3,5,7,,4,8,27
"",,,Mulrennan,,,,,2,,2
"",,,Pierce,2,9,21,1,1,2,36
"",,,Randall,,,,,,2,2
"",,,Rodgers,,2,,,,,2
"",,,Sgt. Smith,3,2,2,,1,1,9
"",,,Shields,,4,1,,1,,6
"",,,Sligh,,2,2,,,,4
"",,,Stewart,,,1,,,3,4
"",,,Tinker K-8,,1,,,,,1
"",,,Turner/Bartels K-8,,,2,,,,2
"",,,Webb,,,7,1,3,14,25
"",,,Wilson,1,1,2,,1,4,9
"",,,Woodson K-8,,2,,,,1,3
"",,Magnet Total,,30,77,113,2,36,83,341
"",,Neighborhood,Hill,,,1,,,,1
"",,,Pierce,,1,,,,,1
"",,,Turner/Bartels K-8,,1,,,,,1
"",,,Webb,,,1,,,,1
"",,Neighborhood Total,,,2,2,,,,4
"",ROLAND PARK K-8 MAGNET Total,,,30,79,115,2,36,83,345
"",SOUTHSHORE CHARTER ACADEMY,Charter,Barrington,,6,11,,2,6,25
"",,,Burnett,,1,,,,,1
"",,,Burns,,1,,,,1,2
"",,,Collins,1,7,12,,2,2,24
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,SOUTHSHORE CHARTER ACADEMY,Charter,Eisenhower,6,58,81,1,28,45,219
"",,,Giunta,,3,5,,1,7,16
"",,,Greco,,1,,,,,1
"",,,Jennings,,1,,,,,1
"",,,Mann,,,1,,,,1
"",,,McLane,1,6,3,,,,10
"",,,Monroe,,1,,,,,1
"",,,Mulrennan,,,3,,,,3
"",,,Rodgers,2,9,12,,3,9,35
"",,,Shields,1,15,32,2,9,13,72
"",,Charter Total,,11,109,164,3,45,84,416
"",SOUTHSHORE CHARTER ACADEMY Total,,,11,109,164,3,45,84,416
"",SULPHUR SPRINGS K-8,Neighborhood,Adams,,1,1,,1,,3
"",,,Greco,,1,,,,,1
"",,,Madison,,2,1,,,,3
"",,,Sulphur Springs K-8,1,100,36,,5,4,146
"",,Neighborhood Total,,1,104,38,,6,4,153
"",SULPHUR SPRINGS K-8 Total,,,1,104,38,,6,4,153
"",SUNLAKE ACAD OF MATH & SCIENCE,Charter,Blank/Bad Addr,17,5,32,,1,50,105
"",,,Adams,1,2,6,,2,6,17
"",,,Barrington,,,1,,,1,2
"",,,Benito,,,1,,,1,2
"",,,Buchanan,7,1,13,,,16,37
"",,,Carrollwood K-8,,,,,,2,2
"",,,Farnell,1,,,,,,1
"",,,Hill,,,12,,,20,32
"",,,Liberty,3,2,8,1,2,16,32
"",,,Martinez,6,1,7,,,25,39
"",,,Memorial,,,,,1,,1
"",,,Pierce,,,2,,,1,3
"",,,Randall,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,SUNLAKE ACAD OF MATH & SCIENCE,Charter,Sgt. Smith,,,1,,,6,7
"",,,Shields,1,,,,,,1
"",,,Turner/Bartels K-8,1,,6,,1,8,16
"",,Charter Total,,38,11,90,1,7,152,299
"",SUNLAKE ACAD OF MATH & SCIENCE Total,,,38,11,90,1,7,152,299
"",TINKER K-8 SCHOOL,Choice,Barrington,,1,,,,,1
"",,,Monroe,,,,,,2,2
"",,,Tinker K-8,,,1,,,,1
"",,Choice Total,,,1,1,,,2,4
"",,Neighborhood,Eisenhower,,2,,,,,2
"",,,Giunta,,,,,1,,1
"",,,McLane,,,,,,1,1
"",,,Rodgers,,,,,,1,1
"",,,Tinker K-8,5,17,27,1,13,78,141
"",,Neighborhood Total,,5,19,27,1,14,80,146
"",TINKER K-8 SCHOOL Total,,,5,20,28,1,14,82,150
"",TRINITY SCHOOL FOR CHILDREN,Charter,Blank/Bad Addr,,3,6,,2,3,14
"",,,Adams,1,,26,,1,17,45
"",,,Benito,2,,,,,,2
"",,,Buchanan,,1,4,,,4,9
"",,,Burnett,,2,1,,,,3
"",,,Carrollwood K-8,,,2,,1,2,5
"",,,Coleman,,,1,,1,1,3
"",,,Collins,,,,,,1,1
"",,,Davidsen,,1,1,,,2,4
"",,,Eisenhower,,,,,,2,2
"",,,Farnell,,,1,,,,1
"",,,Giunta,,,1,,,,1
"",,,Greco,,2,5,,1,1,9
"",,,Hill,1,,7,,4,13,25
"",,,Jennings,,1,1,,1,1,4
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,TRINITY SCHOOL FOR CHILDREN,Charter,Madison,,1,15,,3,15,34
"",,,Mann,,,1,,,,1
"",,,Marshall,,,1,,,,1
"",,,Martinez,,,2,,,2,4
"",,,McLane,,,2,,,2,4
"",,,Memorial,2,,30,1,5,22,60
"",,,Mulrennan,,,1,,,,1
"",,,Pierce,1,,19,,,7,27
"",,,Rodgers,,,1,,,,1
"",,,Sgt. Smith,,,3,,,1,4
"",,,Shields,,3,1,,,,4
"",,,Sligh,,1,2,,,1,4
"",,,Stewart,,,,,,1,1
"",,,Tomlin,,,1,,,1,2
"",,,Turkey Creek,,,1,,,,1
"",,,Turner/Bartels K-8,,,1,,,,1
"",,,Webb,,,7,,1,5,13
"",,,Wilson,,,2,,,4,6
"",,,Woodson K-8,,,1,,,,1
"",,Charter Total,,7,15,148,1,21,114,306
"",TRINITY SCHOOL FOR CHILDREN Total,,,7,15,148,1,21,114,306
"",TURNER BARTELS K-8,Choice,Blank/Bad Addr,1,4,10,,,8,23
"",,,Adams,,,1,,,,1
"",,,Benito,3,9,1,,1,2,16
"",,,Buchanan,,,1,,,,1
"",,,Burnett,,,1,,,,1
"",,,Eisenhower,,1,,,,,1
"",,,Farnell,,2,,,,,2
"",,,Greco,,2,1,,,1,4
"",,,Liberty,1,4,4,,,,9
"",,,McLane,,2,,,,,2
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,TURNER BARTELS K-8,Choice,Shields,,1,,,,,1
"",,,Turner/Bartels K-8,,3,2,,1,2,8
"",,,Woodson K-8,,,1,,,,1
"",,Choice Total,,5,28,23,,2,13,71
"",,Neighborhood,Blank/Bad Addr,,1,1,,,,2
"",,,Benito,8,5,5,,4,5,27
"",,,Liberty,,,1,,,,1
"",,,Turner/Bartels K-8,45,108,165,1,39,133,491
"",,Neighborhood Total,,53,114,172,1,43,138,521
"",TURNER BARTELS K-8 Total,,,58,142,195,1,45,151,592
"",WATERSET CHARTER SCHOOL,Charter,Barrington,,,,,,1,1
"",,,Collins,,1,1,,,4,6
"",,,Davidsen,,,1,,,,1
"",,,Dowdell,,,1,,,1,2
"",,,Eisenhower,3,27,67,2,21,84,204
"",,,Giunta,,,2,,,1,3
"",,,Jennings,,,1,,,,1
"",,,McLane,,2,2,,1,2,7
"",,,Randall,,,,,,1,1
"",,,Rodgers,,,3,,1,2,6
"",,,Shields,5,35,47,,9,56,152
"",,,Webb,,,1,,1,,2
"",,,Woodson K-8,,1,,,,,1
"",,Charter Total,,8,66,126,2,33,152,387
"",WATERSET CHARTER SCHOOL Total,,,8,66,126,2,33,152,387
"",WINTHROP CHARTER SCHOOL,Charter,Barrington,,3,1,,,2,6
"",,,Buchanan,,,,,,1,1
"",,,Burnett,,1,2,,1,1,5
"",,,Burns,1,,3,,,5,9
"",,,Collins,2,4,4,,1,3,14
"",,,Davidsen,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,WINTHROP CHARTER SCHOOL,Charter,Eisenhower,2,7,6,,6,12,33
"",,,Giunta,10,27,49,2,16,53,157
"",,,Greco,,1,,,,,1
"",,,Jennings,1,1,,,,1,3
"",,,Madison,,,,,,1,1
"",,,Mann,,3,6,,,3,12
"",,,McLane,8,18,44,,8,22,100
"",,,Mulrennan,,2,2,,4,4,12
"",,,Pierce,,,,,,1,1
"",,,Rodgers,4,17,20,1,11,14,67
"",,,Shields,,4,7,,,3,14
"",,,Sligh,,,1,,,,1
"",,,Tinker K-8,,,,,1,,1
"",,,Turkey Creek,,,,,,1,1
"",,Charter Total,,28,89,147,3,48,129,444
"",WINTHROP CHARTER SCHOOL Total,,,28,89,147,3,48,129,444
"",WOODMONT CHARTER SCHOOL,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Adams,,4,1,,,1,6
"",,,Benito,,2,1,,,2,5
"",,,Buchanan,,2,2,,,,4
"",,,Burnett,,5,1,,2,,8
"",,,Dowdell,,1,,,,1,2
"",,,Eisenhower,,2,,,,,2
"",,,Giunta,,2,1,,,,3
"",,,Greco,,65,27,,9,10,111
"",,,Jennings,,28,7,,,1,36
"",,,Liberty,,4,1,,,,5
"",,,Madison,,4,1,,,1,6
"",,,Mann,,3,,,,,3
"",,,McLane,,6,4,,2,,12
"",,,Memorial,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,WOODMONT CHARTER SCHOOL,Charter,Rodgers,,1,,,,,1
"",,,Sligh,,19,3,,2,,24
"",,,Stewart,,,1,,,,1
"",,,Sulphur Springs K-8,,3,2,,,1,6
"",,,Turner/Bartels K-8,,1,,,,,1
"",,,Webb,,,1,,,,1
"",,,Woodson K-8,,4,4,,1,,9
"",,Charter Total,,,157,59,,17,17,250
"",WOODMONT CHARTER SCHOOL Total,,,,157,59,,17,17,250
"",WOODSON K-8,Choice,Blank/Bad Addr,,1,,,,,1
"",,,Adams,,3,1,,,,4
"",,,Greco,,7,,,,,7
"",,,Sligh,,4,,,,,4
"",,,Sulphur Springs K-8,,6,1,,1,1,9
"",,,Woodson K-8,,1,,,,1,2
"",,Choice Total,,,22,2,,1,2,27
"",,Hope Sch,Adams,,1,,,,,1
"",,,Buchanan,,1,,,,,1
"",,Hope Sch Total,,,2,,,,,2
"",,Neighborhood,Adams,,1,,,,,1
"",,,Buchanan,,1,,,,,1
"",,,Greco,,5,,,,,5
"",,,Jennings,,1,,,,,1
"",,,Liberty,,1,,,,,1
"",,,Madison,,1,,,,,1
"",,,Mann,,2,,,,,2
"",,,Sligh,,1,1,,,,2
"",,,Sulphur Springs K-8,,5,3,,,,8
"",,,Woodson K-8,,100,127,,11,13,251
"",,Neighborhood Total,,,118,131,,11,13,273
"",WOODSON K-8 Total,,,,142,133,,12,15,302
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,YORK PK-8 MAGNET SCHOOL,Choice,Shields,,1,,,,,1
"",,Choice Total,,,1,4,,1,1,7
"",,Magnet,Blank/Bad Addr,,,,,,1,1
"",,,Barrington,,2,,,2,3,7
"",,,Burns,,,1,,1,,2
"",,,Collins,1,4,,,,,5
"",,,Dowdell,,,1,,,1,2
"",,,Eisenhower,10,71,55,,34,139,309
"",,,Giunta,,3,2,,1,6,12
"",,,Greco,,1,,,,,1
"",,,McLane,,1,,,,,1
"",,,Rodgers,1,3,5,,,10,19
"",,,Shields,3,34,38,1,6,46,128
"",,Magnet Total,,15,119,102,1,44,206,487
"",,Neighborhood,Burns,,,,,1,,1
"",,,Eisenhower,,5,4,,,2,11
"",,,Rodgers,,1,,,,,1
"",,,Shields,,3,1,,,2,6
"",,,Turkey Creek,,1,,,,,1
"",,Neighborhood Total,,,10,5,,1,4,20
"",YORK PK-8 MAGNET SCHOOL Total,,,15,130,111,1,46,211,514
"K-8 Total3802,1543,939267123,00810,219",,,,,,,,,,
Mid,ADAMS MIDDLE SCHOOL,Choice,Adams,,,,,,1,1
"",,,Greco,,1,,,,,1
"",,,Memorial,,,1,,,,1
"",,,Sligh,,,,,,1,1
"",,,Sulphur Springs K-8,,,1,,,,1
"",,,Woodson K-8,,,1,,,,1
"",,Choice Total,,,1,3,,,2,6
"",,Hope Sch,Buchanan,,,,,1,,1
"",,,Greco,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,ADAMS MIDDLE SCHOOL,Hope Sch Total,,,1,1,,1,,3
"",,Neighborhood,Adams,10,156,272,3,28,42,511
"",,,Benito,,1,,,,,1
"",,,Davidsen,,1,,,,,1
"",,,Greco,,2,,,,,2
"",,,Jennings,,1,,,,,1
"",,,McLane,,1,,,,,1
"",,,Memorial,,,2,,,,2
"",,,Pierce,,,1,,,,1
"",,,Sligh,,,1,,,,1
"",,,Woodson K-8,,1,,,,,1
"",,Neighborhood Total,,10,163,276,3,28,42,522
"",ADAMS MIDDLE SCHOOL Total,,,10,165,280,3,29,44,531
"",BARRINGTON MIDDLE SCHOOL,Choice,Adams,,,1,,,,1
"",,,Barrington,1,,,,1,2,4
"",,,Burnett,,,1,,,,1
"",,,Burns,,2,2,,,3,7
"",,,Collins,,,6,,1,2,9
"",,,Eisenhower,,6,8,,3,4,21
"",,,Giunta,1,,3,,1,2,7
"",,,Mann,,,,,,1,1
"",,,McLane,,2,1,,1,,4
"",,,Randall,,,,,,1,1
"",,,Rodgers,1,2,2,,,10,15
"",,,Shields,,3,2,,,,5
"",,,Tomlin,,,,,,1,1
"",,,Turkey Creek,,,,,1,2,3
"",,Choice Total,,3,15,26,,8,28,80
"",,Hope Sch,Rodgers,,,1,,,,1
"",,Hope Sch Total,,,,1,,,,1
"",,Magnet,Barrington,,2,1,,,,3
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,BARRINGTON MIDDLE SCHOOL,Neighborhood,Barrington,61,118,352,3,90,552,"1,176"
"",,,Collins,,,1,,,,1
"",,,Eisenhower,,,1,,,1,2
"",,,Giunta,,,,,,1,1
"",,,McLane,,,1,,,,1
"",,,Randall,,1,2,,2,4,9
"",,,Rodgers,,2,,,,,2
"",,,Shields,,2,,,,,2
"",,Neighborhood Total,,61,123,357,3,92,558,"1,194"
"",BARRINGTON MIDDLE SCHOOL Total,,,64,140,385,3,100,586,"1,278"
"",BENITO MIDDLE SCHOOL,Choice,Blank/Bad Addr,,7,4,,1,5,17
"",,,Adams,,1,,,,,1
"",,,Benito,2,3,2,,1,2,10
"",,,Buchanan,,1,,,1,3,5
"",,,Burnett,,1,,,,,1
"",,,Greco,,,,,,2,2
"",,,Hill,,,1,,,,1
"",,,Jennings,,1,,,1,3,5
"",,,Liberty,1,9,,,2,1,13
"",,,Turner/Bartels K-8,7,1,,,1,2,11
"",,,Woodson K-8,,,1,,,,1
"",,Choice Total,,10,24,8,,7,18,67
"",,Neighborhood,Benito,143,245,194,,94,256,932
"",,,Giunta,,,,,,1,1
"",,,Greco,,1,1,,,,2
"",,,Liberty,,5,1,,1,,7
"",,,Stewart,,1,,,,,1
"",,,Turner/Bartels K-8,,1,1,,,,2
"",,,Woodson K-8,,2,,,,,2
"",,Neighborhood Total,,143,255,197,,95,257,947
"",BENITO MIDDLE SCHOOL Total,,,153,279,205,,102,275,"1,014"
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,BUCHANAN MIDDLE SCHOOL,Choice,Buchanan,,1,7,,1,1,10
"",,,Burnett,,1,,,,1,2
"",,,Giunta,,1,,,,,1
"",,,Greco,,1,1,,,1,3
"",,,Hill,,,,,1,1,2
"",,,Jennings,,2,,,,,2
"",,,Liberty,,1,,,,,1
"",,,Martinez,,,1,,,,1
"",,,McLane,,1,2,,,,3
"",,,Memorial,,,1,,,1,2
"",,,Monroe,,1,,,,,1
"",,,Pierce,,,1,,,,1
"",,,Sgt. Smith,,,1,,,,1
"",,,Sligh,,,,,,1,1
"",,,Sulphur Springs K-8,,1,,,,,1
"",,,Woodson K-8,,,1,,,,1
"",,Choice Total,,2,13,31,,6,20,72
"",,Hope Sch,Adams,,,1,,,,1
"",,,Buchanan,,,1,,,,1
"",,,Greco,,1,,,,,1
"",,Hope Sch Total,,,1,2,,,,3
"",,Neighborhood,Blank/Bad Addr,,,1,,,,1
"",,,Adams,,1,1,,,1,3
"",,,Buchanan,9,93,356,,26,55,539
"",,,Coleman,1,,,,,,1
"",,,Hill,,,,,,1,1
"",,,Jennings,,,,,,1,1
"",,,Liberty,,1,1,,,,2
"",,,McLane,,1,,,,,1
"",,,Webb,,,1,,,,1
"",,,Woodson K-8,,1,,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,BUCHANAN MIDDLE SCHOOL Total,,,12,111,393,,32,78,626
"",BURNETT MIDDLE SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"",,,Burnett,,3,,,,,3
"",,,Giunta,,,,,,1,1
"",,,Jennings,1,8,8,,4,14,35
"",,,Mann,,1,1,,,2,4
"",,,Marshall,,,,,,1,1
"",,,McLane,,2,2,,,7,11
"",,,Tomlin,,,1,,,,1
"",,,Turkey Creek,,,,,,1,1
"",,Choice Total,,1,14,12,,4,27,58
"",,Hope Sch,Jennings,,,1,,,1,2
"",,,Marshall,,1,,,,,1
"",,,McLane,,1,2,,,,3
"",,Hope Sch Total,,,2,3,,,1,6
"",,Neighborhood,Burnett,12,147,175,,30,143,507
"",,,Burns,,,1,,,,1
"",,,Davidsen,,,,,,1,1
"",,,Greco,,1,,,,,1
"",,,Jennings,,2,1,,1,5,9
"",,,Liberty,,1,,,,,1
"",,,Mann,,3,,,1,,4
"",,,McLane,,2,,,,1,3
"",,,Mulrennan,,1,,,,,1
"",,Neighborhood Total,,12,157,177,,32,150,528
"",BURNETT MIDDLE SCHOOL Total,,,13,173,192,,36,178,592
"",BURNS MIDDLE SCHOOL,Choice,Burnett,,,2,,1,1,4
"",,,Burns,1,,3,,,3,7
"",,,Eisenhower,,,,,1,2,3
"",,,Giunta,2,2,9,1,2,10,26
"",,,Greco,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,BURNS MIDDLE SCHOOL,Choice,McLane,3,13,24,,8,10,58
"",,,Mulrennan,,,3,,,6,9
"",,,Rodgers,,3,12,,3,17,35
"",,,Shields,,,1,,,1,2
"",,,Tomlin,,,,,,2,2
"",,,Turkey Creek,,,,,,1,1
"",,Choice Total,,8,23,65,1,18,62,177
"",,Hope Sch,Burnett,,,1,,,,1
"",,,Eisenhower,,,1,,,,1
"",,,Mann,,2,,,,,2
"",,,Marshall,,,1,,,,1
"",,,McLane,,,2,,,,2
"",,Hope Sch Total,,,2,5,,,,7
"",,Neighborhood,Burns,41,101,278,3,97,478,998
"",,,Eisenhower,,,1,,,1,2
"",,,Giunta,,,1,,,,1
"",,,Mann,,,1,,,,1
"",,,McLane,,1,2,,,2,5
"",,,Randall,,1,,,,1,2
"",,,Rodgers,1,,,,,,1
"",,Neighborhood Total,,42,103,283,3,97,482,"1,010"
"",BURNS MIDDLE SCHOOL Total,,,50,128,353,4,115,544,"1,194"
"",COLEMAN MIDDLE SCHOOL,Choice,Adams,,1,,,,,1
"",,,McLane,,,,,,1,1
"",,,Monroe,,,2,,,,2
"",,,Wilson,1,,,,,,1
"",,Choice Total,,1,1,2,,,1,5
"",,Neighborhood,Coleman,49,22,120,1,56,672,920
"",,,Madison,,1,8,,,1,10
"",,,Monroe,,3,5,,3,2,13
"",,,Tinker K-8,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,COLEMAN MIDDLE SCHOOL,Neighborhood Total,,49,26,134,1,59,677,946
"",COLEMAN MIDDLE SCHOOL Total,,,50,27,136,1,59,678,951
"",DAVIDSEN MIDDLE SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"",,,Adams,,,1,,,,1
"",,,Buchanan,,,,,,1,1
"",,,Davidsen,,,1,,,,1
"",,,Farnell,,,1,,,1,2
"",,,Greco,1,,,,,,1
"",,,Hill,,,1,,,1,2
"",,,Madison,,,2,,,,2
"",,,Mann,,,1,,,,1
"",,,Memorial,,,3,,,,3
"",,,Monroe,,,1,,,,1
"",,,Pierce,,,8,,1,3,12
"",,,Sgt. Smith,1,,15,,2,2,20
"",,,Webb,1,,33,,2,4,40
"",,Choice Total,,3,,67,,5,13,88
"",,District Assigned,Webb,,,1,,,,1
"",,District Assigned Total,,,,1,,,,1
"",,Hope Sch,Webb,,,,,,1,1
"",,Hope Sch Total,,,,,,,1,1
"",,Magnet,Davidsen,,,,,,1,1
"",,Magnet Total,,,,,,,1,1
"",,Neighborhood,Blank/Bad Addr,,,1,,,,1
"",,,Adams,,,1,,,,1
"",,,Davidsen,34,49,511,,37,173,804
"",,,Farnell,1,1,4,,,,6
"",,,Hill,,,1,,,,1
"",,,Liberty,,1,,,,1,2
"",,,Madison,,1,,,,,1
"",,,Pierce,,,,,,1,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,DAVIDSEN MIDDLE SCHOOL,Neighborhood,Webb,,4,12,,1,1,18
"",,Neighborhood Total,,35,58,542,,39,177,851
"",DAVIDSEN MIDDLE SCHOOL Total,,,38,58,610,,44,192,942
"",DOWDELL MIDDLE SCHOOL,Choice,Eisenhower,,1,,,,,1
"",,,Giunta,,4,5,,,2,11
"",,Choice Total,,,5,5,,,2,12
"",,District Assigned,Giunta,,1,1,,,,2
"",,District Assigned Total,,,1,1,,,,2
"",,Hope Sch,Dowdell,,,2,,,,2
"",,,Eisenhower,,,1,,,,1
"",,,Giunta,,1,1,,,,2
"",,,Madison,,1,,,,,1
"",,Hope Sch Total,,,2,4,,,,6
"",,Magnet,Adams,,1,,1,,,2
"",,,Buchanan,,1,,,,,1
"",,,Burnett,,1,2,,1,3,7
"",,,Burns,,,,,2,,2
"",,,Dowdell,,,7,,2,2,11
"",,,Eisenhower,,4,1,,,2,7
"",,,Giunta,,23,27,,4,4,58
"",,,Greco,,3,2,,,,5
"",,,Jennings,1,5,2,,,2,10
"",,,Liberty,,2,,,,,2
"",,,Madison,,,1,,,,1
"",,,Mann,,5,3,,1,1,10
"",,,McLane,1,16,6,,,2,25
"",,,Memorial,,,2,,,1,3
"",,,Pierce,,,1,,,,1
"",,,Randall,,,,,,1,1
"",,,Rodgers,,4,,,,1,5
"",,,Sgt. Smith,,,1,,,,1
"SchoolLevel",Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Mid,DOWDELL MIDDLE SCHOOL,Magnet,Sligh,,2,1,,1,,4
"",,,Sulphur Springs K-8,,,1,,,,1
"",,,Webb,,1,1,,,,2
"",,,Woodson K-8,,1,,,,1,2
"",,Magnet Total,,2,72,65,1,11,21,172
"",,Neighborhood,Dowdell,2,44,214,,22,50,332
"",,,Giunta,,2,2,,,,4
"",,,McLane,,1,,,,,1
"",,,Rodgers,,1,,,,,1
"",,Neighborhood Total,,2,48,216,,22,50,338
"",DOWDELL MIDDLE SCHOOL Total,,,4,128,291,1,33,73,530
"",EISENHOWER MIDDLE SCHOOL,Choice,Barrington,,,1,,,,1
"",,,Collins,,,1,,,,1
