file_name,role,event_file_type,report_file_number,date,synopsis_append,check_row,validation_link
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-185426,May-03-2023,BATTERY - SIMPLE,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-177861,Apr-28-2023,INFORMATION- SCHOOL THREAT,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-165671,Apr-20-2023,BATTERY - SIMPLE,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
10201_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-153651,Apr-12-2023,SEXUALLY CYBERHARASSMENT 1ST,3,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=6e37d78df3d9d434_3d903b1ba4a802f9&schid=8014&row=1&page=0
1101_Ray_Charles_Blvd_Redacted.pdf,Police Call,CAD Call,CP 2023-70649,Feb-18-2023,BUILDING CHECK,14,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=767312c6b473a4ad_3d903b1ba4a802f9&schid=8014&row=64&page=1
1101_Ray_Charles_Blvd_Redacted.pdf,Police Call,CAD Call,CP 2023-64907,Feb-14-2023,INTOXICATED PERSON,14,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=767312c6b473a4ad_3d903b1ba4a802f9&schid=8014&row=64&page=1
1125_spruce.pdf,NA,General Offense Report,GO 2023-140311,Apr-03-2023,DOCUMENTATION/INFORMATION ONLY,15,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=d26025791f18001a_3d903b1ba4a802f9&schid=8014&row=0&page=0
1125_spruce.pdf,NA,General Offense Report,GO 2023-91781,Mar-03-2023,CHILD ABUSE (BATTERY),15,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=d26025791f18001a_3d903b1ba4a802f9&schid=8014&row=0&page=0
1701_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-16540,Jan-11-2023,BATTERY ON LIC SECURITY OFC,27,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fa3bb037263960e5_3d903b1ba4a802f9&schid=8014&row=12&page=0
1701_N_BOULEVARD_Redacted.pdf,NA,General Offense Report,GO 2023-16462,Jan-11-2023,AFFRAY-PHYSICAL FIGHT,27,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fa3bb037263960e5_3d903b1ba4a802f9&schid=8014&row=12&page=0
1724_S_Manhattan_Ave_Redacted.pdf,Police Call,Arrest,AB 2022-2202366,Aug-23-2022,BATTERY ON A SPECIFIED OFFICIAL OR EMPLOYEE GO 2022-340661,31,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=c02e0d6659a5780d_3d903b1ba4a802f9&schid=8014&row=14&page=0
1724_S_Manhattan_Ave_Redacted.pdf,Police Call,CAD Call,CP 2023-198261,May-12-2023,SCHOOL RESOURCE OFFICER ASSIGNMENT,31,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=c02e0d6659a5780d_3d903b1ba4a802f9&schid=8014&row=14&page=0
3930_W_Dr_MLK_Jr_Blvd_Redacted.pdf,NA,Arrest,AB 2022-2202743,Sep-30-2022,BATTERY GO 2022-402548,63,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=8bd3ff072a4350a0_3d903b1ba4a802f9&schid=8014&row=12&page=0
3930_W_Dr_MLK_Jr_Blvd_Redacted.pdf,NA,Arrest,AB 2022-2202403,Aug-26-2022,BATTERY ON DETENTION FACILITY STAFF GO 2022-344999,63,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=8bd3ff072a4350a0_3d903b1ba4a802f9&schid=8014&row=12&page=0
4006_florida.pdf,NA,Arrest,AB 2023-2301279,Apr-22-2023,DRIVING UNDER THE INFLUENCE WITH PROPERTY DAMAGE OR PERSONAL INJURY - GO 2023-168727,65,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=3aa64077a4280f37_3d903b1ba4a802f9&schid=8014&row=9&page=0
4006_florida.pdf,NA,Arrest,AB 2022-2203487,Dec-14-2022,CHILD FAILURE TO APPEAR AT COURT HEARING GO 2022-493856,65,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=3aa64077a4280f37_3d903b1ba4a802f9&schid=8014&row=9&page=0
4302_N._24th_St.pdf,NA,General Offense Report,GO 2023-101648,Mar-09-2023,POSSESS WEAPON SCHOOL PROPERTY,67,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=247f42a338dc7ae1_3d903b1ba4a802f9&schid=8014&row=1&page=0
4302_N._24th_St.pdf,NA,General Offense Report,GO 2023-64015,Feb-14-2023,ASSIST O/J - ALL OTHER,67,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=247f42a338dc7ae1_3d903b1ba4a802f9&schid=8014&row=1&page=0
4302_N._24th_St.pdf,NA,General Offense Report,GO 2023-55296,Feb-08-2023,AGGRAVATED BATTERY-ALL OTHER WEAPONS,67,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=247f42a338dc7ae1_3d903b1ba4a802f9&schid=8014&row=1&page=0
4302_N._24th_St.pdf,Police Call,Arrest,AB 2022-2202795,Oct-06-2022,POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2022-403524,68,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=247f42a338dc7ae1_3d903b1ba4a802f9&schid=8014&row=10&page=0
4302_N._24th_St.pdf,Police Call,CAD Call,CP 2023-198220,May-12-2023,SCHOOL RESOURCE OFFICER ASSIGNMENT,68,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=247f42a338dc7ae1_3d903b1ba4a802f9&schid=8014&row=10&page=0
4702_N_Central_Ave._Tampa__FL_33603.pdf,NA,General Offense Report,GO 2023-153937,Apr-12-2023,"PT/GT ALL OTHER	",79,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fad2209b5f6e7688_3d903b1ba4a802f9&schid=8014&row=2&page=0
4702_N_Central_Ave._Tampa__FL_33603.pdf,NA,General Offense Report,GO 2023-132640,Mar-29-2023,LEWD AND LASCIVIOUS CONDUCT BY PERSON,79,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=fad2209b5f6e7688_3d903b1ba4a802f9&schid=8014&row=2&page=0
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2023-2301482,May-10-2023,IMPROPER EXHIBITION OF WEAPON OR FIREARM ON SCHOOL GROUNDS GO 2023-195489,85,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=41&page=1
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2023-2301378,May-01-2023,"CHILD FAILURE TO APPEAR AT COURT HEARING	",85,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=41&page=1
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2023-2301148,Apr-11-2023,POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-152145,86,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=43&page=1
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2023-2301064,Apr-04-2023,POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-141853,86,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=43&page=1
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2022-2203217,Nov-17-2022,TRESPASS UPON SCHOOL GROUNDS GO 2022- 459308,87,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=50&page=1
4801_N_22nd_St._Tampa__FL_33610.pdf,NA,Arrest,AB 2022-2203197,Nov-15-2022,BATTERY ON A SPECIFIED OFFICIAL OR EMPLOYEE GO 2022-456438,87,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=310edbe8824c20d_3d903b1ba4a802f9&schid=8014&row=50&page=1
5000_N_Central_Ave_Redacted.pdf,NA,Warrant,GO 2023-191817,Jan-19-2023,CHILD VIOL OF PROB (EXECUTED),94,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=0&page=0
5000_N_Central_Ave_Redacted.pdf,NA,General Offense Report,GO 2023-191817,May-07-2023,INFORMATION- SCHOOL THREAT,94,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=0&page=0
5000_N_Central_Ave_Redacted.pdf,NA,Street Check,SC 2022-26779,Aug-24-2022,CPID Report,101,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=65&page=2
5000_N_Central_Ave_Redacted.pdf,NA,Street Check,SC 2022-26980,Aug-24-2022,Other,101,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=65&page=2
5000_N_Central_Ave_Redacted.pdf,NA,Street Check,SC 2022-26778,Aug-23-2022,Other,101,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=65&page=2
5000_N_Central_Ave_Redacted.pdf,NA,Arrest,AB 2023-2301089,Apr-06-2023,POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-144473,102,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=66&page=2
5000_N_Central_Ave_Redacted.pdf,NA,Arrest,AB 2023-2300658,Feb-28-2023,"POSSESSION OF CANNABIS WITH INTENT TO SELL, MANUFACTURE, OR DELIVER WI GO 2023- 86574",102,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=66&page=2
5000_N_Central_Ave_Redacted.pdf,NA,Arrest,AB 2023-2300613,Feb-24-2023,TRESPASS UPON SCHOOL GROUNDS - subject snuck on to campus on two separ GO 2023-80323,102,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=2a1cc3f2e2e680fe_3d903b1ba4a802f9&schid=8014&row=66&page=2
Young_Middle.pdf,NA,General Offense Report,GO 2023-174442,Apr-26-2023,CHILD ABUSE (BATTERY),161,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=b8c370e6e0a2a184_3d903b1ba4a802f9&schid=8014&row=1&page=0
Young_Middle.pdf,NA,General Offense Report,GO 2023-158130,Apr-15-2023,TRESPASS WARNING ONLY,161,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=b8c370e6e0a2a184_3d903b1ba4a802f9&schid=8014&row=1&page=0
Young_Middle.pdf,NA,Street Check,SC 2023-12215,Apr-12-2023,Other,165,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=b8c370e6e0a2a184_3d903b1ba4a802f9&schid=8014&row=24&page=1
Young_Middle.pdf,NA,Street Check,SC 2023-11534,Apr-05-2023,Adult Check,165,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=b8c370e6e0a2a184_3d903b1ba4a802f9&schid=8014&row=24&page=1
